A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
1.345717,-1.280435,-0.465585,-0.102335,-1.311024,-0.127165,-0.712608,0.631798,-0.457949,1.122399,-0.704588,-0.885798,-0.216999,-1.349563,0.054208,-1.336845,-0.33552,1.984819,-0.477261,-1.001973,0
0.736186,0.455887,0.206519,0.251266,-0.048165,-0.358605,-0.122791,-0.191465,-0.113927,-0.061264,0.885547,-0.269217,1.714871,2.479172,1.881161,0.03588,-0.530611,-0.543682,0.372349,-0.521322,1
0.159622,0.506583,0.422343,-0.356632,2.788401,-0.070958,-0.472336,-1.749517,-0.746588,0.45305,-1.251773,-0.989559,-0.203767,-0.14063,0.788044,-0.993335,-0.972414,1.144163,-2.059574,-0.91973,0
1.58186,-1.117009,0.855289,-1.504662,-0.816891,1.43142,0.233996,-1.469919,2.563971,1.701423,-1.154862,1.945685,-0.228246,-0.211982,0.331804,1.258197,-1.897585,-1.821323,-0.455511,-0.089208,0
-0.699507,-0.148457,0.854641,-2.282316,-1.246571,-0.116585,-3.159427,-1.116706,-0.327637,-1.193024,-1.944656,-1.31348,0.991081,-0.206597,2.715941,-1.454413,2.712853,-0.375812,-0.614558,-1.479928,0
0.706584,0.195072,1.736088,-1.014183,-3.536636,-0.164196,0.074035,0.131357,-2.372222,-0.489971,1.534918,0.740459,0.693362,-0.148035,-2.023112,-0.005498,0.721723,-2.530688,0.802591,1.457234,0
0.97973,0.547273,-0.698261,0.608222,0.576216,0.247768,-0.091851,-0.344771,1.185277,0.847379,0.333747,0.721835,0.125709,0.48403,0.912232,-0.614358,0.145837,-0.217087,0.812107,-0.352791,1
0.735514,-0.014381,-0.375496,0.492145,0.021659,-1.087312,-0.128715,0.558184,1.072558,-1.375022,1.682593,-0.752106,-0.257356,0.900694,2.398499,-0.26231,1.182968,-0.093634,-2.118027,-0.50784,0
-0.742565,0.751389,0.290774,-0.123806,0.21233,0.618073,-1.160895,-0.133384,-0.322425,-1.372326,0.257273,-0.112245,0.518699,0.050537,-0.131077,-0.039652,0.725745,-0.022436,-0.118386,0.348973,1
0.239681,0.634656,1.4386,-0.103677,-0.759824,-0.086167,2.05611,-0.340719,-0.315258,-0.257418,-0.41781,0.620069,0.723134,0.221511,-0.568058,-1.15491,0.072092,-0.443091,-0.885753,-0.503795,1
3.179691,-0.630065,-0.194021,-0.41031,-0.213323,-0.909433,-0.15373,-0.191465,-0.20319,1.915777,-1.463396,-0.787358,0.807157,-1.964126,-0.014858,0.827989,-0.0278,-2.302071,-0.421526,2.142145,0
-0.924886,-0.512664,0.682889,0.151963,-2.632964,-1.423231,-0.022732,-0.259676,0.789782,-0.243262,-0.172565,-0.08697,-0.310946,-0.339875,0.716985,-0.320766,-0.202778,0.608546,1.403435,0.803333,0
0.768479,0.079006,-0.113006,-1.513385,0.935402,-2.010428,0.579592,0.191464,2.763347,-1.679027,2.382067,1.359035,0.315588,0.06198,-0.337614,-0.959838,2.255631,0.120613,1.427225,1.524647,0
-0.082576,-0.19982,-0.461048,0.802133,-0.230779,0.190239,-0.295918,0.698658,-0.067015,0.290599,0.015324,0.308786,0.424752,0.020247,-0.202136,0.621095,0.61982,1.714398,1.335467,0.789176,1
-2.098198,-0.576701,0.673167,-1.570417,2.512465,-1.552837,-0.132665,2.261438,-1.316049,0.013558,-0.191024,-2.329142,-0.473038,-0.246311,0.039598,0.85032,-0.446809,0.801237,-0.075565,0.603118,0
-0.092668,0.645329,0.100874,-0.10569,-1.54332,0.087082,-0.14583,1.715073,0.110209,-2.790564,1.52437,1.505365,2.026484,0.545957,-2.282777,0.024058,-1.010627,-0.08057,0.680927,1.567791,0
-0.561589,0.46656,-0.054675,1.164457,-0.289189,0.331087,0.242554,-1.17141,0.285477,0.049957,-0.162676,0.657317,0.355284,0.520378,0.171091,1.156392,0.035889,-0.104085,0.449833,0.360433,1
-2.091471,1.64323,1.010839,-1.933412,-1.524521,-0.091457,-1.55652,-1.343626,-0.802622,1.543691,0.706229,-0.13752,1.407227,-1.029828,-1.712311,0.769533,-0.179314,0.626182,-1.41591,-0.027863,0
-2.061869,-1.088326,-2.000988,-0.229148,-0.068306,-0.304382,-0.080661,-4.313179,-2.240608,-0.477838,0.321221,-0.366327,-0.338072,-0.827218,-0.095215,-0.067238,-2.716161,-0.084489,0.54363,-0.068985,0
0.626525,0.261777,0.627798,1.303347,0.455368,-0.183372,0.002941,-0.193491,0.294599,-0.173159,0.029828,0.266882,-0.596095,-0.096877,-0.064666,0.226354,-0.098194,0.342698,-0.008956,0.406273,1
-0.057011,-1.081655,-0.129209,-0.377433,-0.866572,0.500369,1.503156,-0.185386,-1.076927,0.810306,-1.22804,0.681927,2.097275,-0.716825,1.434219,0.796462,0.421377,0.0566,-1.701378,-1.010737,0
0.021703,0.151714,0.410029,-2.309826,-1.683637,-0.195936,-1.276094,1.512465,-3.106526,1.030726,2.302956,0.429176,2.962647,-0.182364,0.482556,1.667387,-0.891964,0.288483,0.935131,-0.826701,0
0.327142,1.791315,-0.326238,-0.83906,0.09551,-0.991429,0.554578,1.357133,0.976127,0.762447,0.26848,-0.219332,0.131002,0.381041,-0.360857,-0.567068,-0.736428,-0.032234,-0.58669,-0.12224,1
-0.083922,1.873362,1.132038,3.270631,-3.009606,-2.079199,-0.290651,-2.483632,3.632524,-0.159004,0.704251,3.209443,-0.005287,-2.398965,-0.276516,-1.161478,-2.010215,1.705906,-0.223057,0.935461,0
-0.434435,0.008966,-0.69502,0.394854,-0.31403,-0.646253,0.411731,-0.280612,1.27454,-1.31503,0.48208,0.830252,-0.109158,0.130639,1.031107,0.266419,0.056672,-0.754663,0.258841,0.432564,1
0.417293,0.431874,0.034118,-1.214803,0.049856,-0.861823,0.702032,-0.26778,-0.133474,0.43822,-0.466595,-0.090961,1.165743,1.44054,-1.054183,0.086454,-0.412618,0.577846,-0.672331,-0.199765,0
1.690849,-0.359911,0.124207,0.553874,0.232471,-1.122358,-0.277486,-0.269131,2.645415,1.730408,0.281665,-1.497057,-2.026473,-0.077357,-0.387421,-0.985454,0.308077,-1.69787,-0.203347,2.907277,0
-0.044228,0.042318,0.7652,-0.735731,-0.029366,-0.127826,0.278759,-0.049639,0.247687,-0.1435,-0.07895,1.612452,-0.420771,-0.788177,1.042397,0.439816,-0.314067,1.632749,0.194951,0.448743,1
-0.242023,-0.265857,0.282997,0.614932,-0.29456,-0.164857,0.353803,-0.218479,0.703125,-0.187989,-1.690181,0.970596,0.027131,-0.01341,-0.13639,0.730125,-0.045901,0.160457,1.24031,0.632105,1
-0.097377,1.024878,0.516969,0.258647,0.424484,-0.041863,-0.061571,0.982984,-0.314606,-0.394253,-0.015661,0.74578,0.054918,-0.123129,1.242956,-0.403523,0.997934,-0.531925,-1.320074,0.460878,1
-1.867438,-0.507995,0.358827,-1.071216,0.012931,-0.775198,-0.175453,-1.542182,-2.490805,-2.208844,1.148592,-1.054077,-1.161763,1.278317,-0.257257,-0.963779,0.146507,-2.622135,-0.513964,-1.10107,0
-0.701526,-0.065743,-0.615301,-1.372481,0.049856,-2.024976,-2.325389,0.979607,-0.671008,-0.685451,-2.307908,-0.670294,0.759521,0.267957,-0.846318,-3.699378,-0.8685,0.685623,-0.41405,-0.090557,0
1.036915,0.048322,0.415214,-0.627704,0.468795,0.233882,0.268885,0.229284,-0.013587,-0.133389,-0.293209,-0.28518,0.032424,-0.123802,-1.220873,0.464118,1.087099,-0.599856,-0.233253,-0.366948,1
1.802529,-0.556023,-0.530397,1.40869,2.452713,-0.354638,1.528171,1.731957,-1.771487,0.717958,1.157162,3.760175,-0.449882,-2.572631,-1.174386,-0.066581,-1.376674,-0.327476,0.537513,-1.757667,0
-0.338229,-0.586707,0.896121,-1.518753,2.439957,0.169078,-0.866645,-0.512935,-2.594403,1.206657,0.955429,-1.812997,2.437999,-0.565372,-1.065473,-0.268878,-0.792072,-1.27199,-1.461449,-2.351571,0
0.654108,-0.834181,0.212352,0.303602,0.870278,0.036827,0.088517,1.607691,-0.0188,0.624937,0.227606,0.471744,0.484958,-0.029565,0.375635,-0.158534,-0.145123,-0.674973,0.247966,0.638172,1
-0.119579,2.048128,-0.17393,-0.204322,0.516463,-0.026654,1.399148,-0.194841,0.671199,0.008839,0.667332,0.298809,-0.62719,0.473933,1.035756,0.295319,0.638592,0.142821,0.537513,0.048313,1
0.204697,-0.033725,-0.337256,-1.527475,-0.952509,0.510949,-0.043139,0.853315,-1.904404,-0.824309,1.317363,-1.256278,-2.054921,0.889924,0.817265,0.01749,1.014694,1.249326,0.721029,-2.593582,0
-0.342939,0.377176,1.172221,-0.468684,-0.749753,1.449935,-0.106992,0.716217,-1.955877,2.308758,-1.748196,-1.234994,1.343052,-2.238088,3.716083,2.085116,3.056776,-2.193642,-1.224238,0.476382,0
-0.155235,-0.087756,0.686777,-0.032554,1.038794,1.006231,-0.041822,-1.008649,-0.457949,-0.349091,-0.080928,0.851537,0.111154,1.068975,1.498637,-0.946045,0.515235,0.223817,0.160966,-0.745806,1
-0.122942,1.077575,-0.264019,3.330348,-0.117988,-0.977543,0.807356,-0.916124,-0.194068,-1.019114,-1.321655,-0.685592,-3.19618,-0.092165,-0.069315,-0.82585,0.421377,-2.072801,-0.625433,0.360433,0
0.753678,-0.211159,0.685481,-0.170774,1.438263,0.446145,-0.118183,0.270481,0.357149,0.743573,0.34825,0.062021,0.871332,0.355463,-0.610561,-0.625524,0.014436,-0.159606,0.275833,1.594756,1
-0.436454,0.557278,-0.601042,0.520996,-0.089118,0.294056,0.413706,1.150473,0.761114,-0.357854,-0.161358,0.139841,1.374147,0.188528,0.771442,0.384645,0.60306,0.349883,0.778802,0.65907,1
2.099894,0.605306,0.931768,-1.432197,1.261691,1.284621,0.168827,0.399474,-0.115882,-0.08553,0.983777,-2.984301,1.42906,-2.032785,1.996051,-0.440961,-1.559697,0.266274,-0.728745,1.278591,0
-2.338378,-0.94291,0.837142,0.080169,-0.120002,-1.14418,0.51179,-1.409136,-2.321401,0.558878,-1.451529,-0.222657,0.228257,-0.387667,-3.823501,0.316993,2.672628,0.357068,0.648982,0.607163,0
0.707257,1.271685,-0.921215,0.659887,-1.33855,-0.230321,0.396591,-0.325186,1.314285,-0.542548,-0.29255,0.025438,-0.051599,0.877135,-1.087388,-0.194002,0.028515,0.456353,-0.041581,0.415711,1
0.021703,0.086343,0.918157,0.549177,0.703106,1.186093,0.89754,0.019247,0.437942,-0.283032,-0.028187,0.755757,-0.189212,-0.729615,0.272699,-0.23144,-0.130374,0.666027,1.092138,-0.104713,1
-0.20502,0.830768,-0.437067,-1.59994,0.045828,0.575091,-1.811932,-2.208086,-1.686784,1.665698,0.191347,-0.215341,-1.240493,0.702795,2.335409,0.842439,2.508377,0.632714,1.563162,-1.02422,0
0.360107,-0.111102,-1.858401,1.495245,-0.929682,0.454081,-0.384127,-1.186943,-0.53809,-2.37062,0.679858,-2.331138,-0.314254,1.013779,0.127924,-0.716163,1.245987,0.778376,0.171161,1.222639,0
-0.513822,2.936634,-2.088484,1.534161,-0.1435,0.344312,-0.88771,-0.297496,-0.246844,0.265659,0.412858,1.027133,0.2792,-0.261793,0.643934,0.021431,-0.10758,-2.808947,-1.76255,-0.199765,0
-1.153628,-0.251182,-0.765018,0.262673,-0.199896,-0.132455,0.074693,1.093068,0.396894,0.943097,-0.594491,0.977912,-0.347996,1.420346,1.350541,-0.048848,0.03723,-0.09494,-0.750495,0.708281,1
-0.854245,0.84611,-0.599098,0.687397,-0.322757,0.095679,-0.675086,0.292768,1.769072,1.41427,-0.427039,-0.33174,0.316912,0.200644,-0.643766,-0.232753,0.39322,0.328327,2.28635,0.608511,1
0.754351,-0.028389,0.452157,-1.379862,0.156605,-0.152293,0.108923,0.691229,0.772842,0.442939,-0.147513,0.993876,-0.278528,1.563722,0.235509,0.300573,-0.69151,-0.767073,0.353997,-0.120892,1
-0.702871,0.824764,0.016619,1.293283,-0.023324,0.107581,1.332004,1.00392,1.864199,-1.815188,0.540095,-0.199378,-0.295068,-0.296795,-0.12842,0.579716,-0.692851,-0.014598,0.74142,-0.387172,0
-1.594293,0.4192,2.357638,-1.157771,-1.132437,-1.080038,-1.295842,-1.355108,1.317543,0.384969,0.894777,1.838598,-0.317562,-1.195417,-1.032931,1.278558,1.085087,-1.797808,-0.824581,-0.886698,0
-0.106123,-0.139785,1.02769,-0.11307,-0.03608,-0.00351,0.500599,-0.107045,0.146696,-0.174507,-0.066424,-0.438827,0.908381,0.366906,0.363017,-0.1986,-0.990515,0.502076,-0.030026,0.514133,1
0.979057,-0.706108,-1.846734,0.235834,0.927345,0.094356,0.390666,-0.125955,0.126498,0.884453,-0.225306,0.361997,-0.091957,-0.022833,0.845157,0.583657,-0.186018,-0.973481,0.220779,-0.199765,1
-0.262879,-1.111672,1.12102,0.912172,1.243564,-0.614512,0.942303,0.035456,0.01443,-0.008687,0.611954,0.687248,-0.985116,1.870667,1.523209,1.017806,0.689543,-0.339233,1.130881,-0.077074,1
-0.112851,-0.167134,0.228555,-0.115754,-1.077385,0.004425,-0.950246,0.290066,-0.061151,0.378902,-0.211461,0.810298,-0.312269,0.69943,-0.030797,-0.123724,-0.179314,0.273459,-0.678448,-0.212573,1
0.937345,-0.255184,-0.071526,0.92492,0.676922,-0.526565,0.432796,-0.198894,-1.133613,-0.326847,0.98971,-0.393597,0.903089,-0.07803,0.753511,0.477254,0.34428,-0.045951,0.421966,-0.132352,1
-0.136398,-0.178474,0.310866,1.27785,-1.719892,0.000458,0.409098,-1.137642,0.329132,-1.291438,0.148495,0.37796,0.201793,0.209395,-1.157119,-1.904983,1.966682,1.327056,0.682287,0.245158,0
1.48969,0.601304,0.172816,-0.655885,-0.272404,-0.079555,1.269468,0.217127,1.498676,-0.805435,0.906644,-0.164791,0.177976,-0.653552,0.571546,-0.719447,-0.192722,0.093179,0.440318,-0.06831,1
-1.7053,-1.806735,1.871546,-2.419865,-2.669218,2.298329,-2.4972,-3.140081,-0.713359,-0.156982,-0.85358,-1.360705,0.747613,1.141673,-0.378124,-0.737181,-0.645252,-0.122374,-0.970714,-1.405774,0
-1.853983,-4.156741,-0.750759,0.268041,-1.119681,1.826852,-0.095801,0.454178,-0.842367,-0.9753,-2.542604,-0.583161,0.904412,-0.427382,-0.279172,-0.490878,0.534007,-0.183774,-1.179378,0.492561,0
0.251118,-0.152459,0.014026,1.026237,0.403672,0.861415,-0.03524,0.344095,-1.597521,-0.186641,-0.077631,-0.698895,0.59743,-0.14063,0.544982,-0.584145,0.322826,-0.411737,0.952123,0.502673,1
-0.698162,-1.045635,-0.089025,-2.188381,1.035437,0.266283,-0.393343,-0.243467,-1.015681,0.070853,-2.538649,0.568189,-0.270588,-0.463057,3.004163,-0.051475,1.772262,2.489082,-0.498331,-0.804455,0
-0.112851,0.966178,-0.687891,0.506235,0.453354,-0.043847,-0.247205,-0.392046,-0.182992,1.098132,-0.424402,-0.737473,-0.387691,1.011086,0.440053,0.102875,0.768652,-0.556746,-0.144214,0.880857,1
-1.412645,-0.806165,-0.429938,-0.069457,0.126393,-0.142374,-0.446663,-0.627071,-1.175313,0.039172,-0.001817,-0.123552,0.286478,1.611514,-0.609897,-0.845554,-0.635195,1.298969,-0.700878,0.009214,1
0.323105,-0.006376,0.059395,0.197589,0.668866,0.383326,-0.821224,-0.78443,-0.078091,-1.19909,-0.71184,-0.803321,-0.917632,1.114748,0.626003,-1.040625,0.806195,-0.025049,0.298263,0.506044,1
-0.535351,0.46656,-0.098747,-0.419033,0.223072,-0.950431,0.1866,-0.338017,0.101738,-0.102382,0.148495,-1.90013,1.083705,2.059142,0.807303,-0.130292,-0.49709,0.096445,0.997662,0.501999,1
0.165004,-0.194483,0.146243,-0.497536,-0.120002,1.549124,0.039804,0.875602,0.529159,0.788061,-0.810729,-0.049722,0.256045,0.727701,0.639285,0.512065,0.282602,-0.966296,0.991545,1.431617,1
0.798081,-0.105099,-0.358645,0.235834,-1.074699,-0.14568,0.698741,-2.4708,-0.103502,1.49044,0.457028,-0.03908,1.257044,-0.020814,0.535685,0.290064,-0.238981,-0.01917,0.28263,-0.369644,1
1.199726,-0.786821,-0.754648,-0.862544,-0.244206,-1.755844,-0.152413,-0.174581,1.905247,0.89726,0.457028,-0.189401,-1.970237,-1.000211,-0.069315,0.125863,0.538029,-0.769033,-2.514285,-0.023144,0
0.679674,-0.291872,-1.483786,1.163786,0.104909,-0.309011,-1.827072,-0.743233,0.780009,-1.03327,-0.638002,0.923371,-1.303345,0.286131,1.399685,2.369513,-2.053122,1.297662,-0.041581,0.821534,0
-0.566971,-2.620532,-1.060561,-2.738576,-1.464769,-0.051121,-0.252471,-1.599587,-0.400612,-2.71035,0.296169,0.043397,-1.41317,-1.222342,0.773434,-0.132919,0.479703,-0.910775,2.653381,-0.58469,0
-0.194256,0.806754,-1.179816,0.328428,-0.91894,-0.144358,0.099049,-0.06112,0.670547,0.161178,0.258591,0.484382,-0.125037,0.280073,0.060849,-0.942761,-0.300659,-0.107351,-0.451433,0.115051,1
-0.537369,1.394422,-0.30485,-0.814234,-0.833675,-0.959028,0.547337,-1.272038,-0.107411,-0.061938,-0.627454,0.346034,-1.42971,0.254494,-1.03426,-1.858349,-0.345577,0.063785,-2.19959,1.007593,0
1.928337,0.068333,-1.27509,-1.103422,-0.596008,-0.680638,-1.266878,-0.585199,-2.105084,0.65527,0.777429,1.456145,0.533916,1.5718,-0.214754,-0.047534,-0.980459,0.811035,1.400037,1.149159,0
0.619797,3.254148,-2.048949,-0.996067,0.468124,-0.18205,0.235971,0.1192,-0.093077,1.282153,-0.688765,1.059724,1.785,0.706161,-1.04887,-1.479372,-3.142545,0.477255,0.648982,0.522897,0
1.73256,-2.297014,-0.277629,1.940769,1.782008,-2.388667,1.453127,0.714867,-0.12761,-0.406387,-0.963018,-1.766437,-0.907047,-0.101589,-0.478404,-2.668192,2.506366,0.372091,-0.575136,0.495258,0
-0.139762,-0.141119,-0.877791,-0.159367,-0.151556,0.150563,-0.170845,-2.46202,-0.064409,0.244763,-0.171246,-0.146832,0.369178,0.047845,-0.218739,-0.155907,-0.324123,2.854216,-0.475901,1.540151,0
-0.069793,-2.307687,1.090558,-1.280558,-2.835048,-0.285867,1.792799,2.285076,0.698564,-1.751152,0.000161,1.359035,-0.506779,-1.587176,2.652187,-0.042936,0.448194,1.232343,0.931052,-1.390269,0
0.619124,0.079006,0.241517,-0.219084,-0.014596,0.022279,1.141762,-0.827652,0.097177,0.097816,0.038398,-0.142841,0.019854,-0.290737,-0.180885,-0.16773,0.685521,-0.55348,0.306419,-0.178867,1
0.233626,0.485904,1.295365,-0.074825,-0.291874,0.658409,-1.131931,-0.499428,0.541539,0.171963,0.815666,0.432501,0.095938,-0.071972,-0.020171,-0.895471,1.594602,0.829978,1.204287,-0.15325,1
0.32445,-0.041062,0.261609,0.815552,-0.242864,0.724535,-0.703392,-0.168502,-0.390187,1.100155,-0.239809,-0.680936,-0.506779,-1.606023,-0.265226,0.147537,0.423389,-0.82782,0.621794,-0.065614,1
-0.930268,-0.30588,-2.165611,-0.559265,-0.15827,-0.063684,0.448595,0.784429,-1.59687,-1.954046,-0.930055,0.043397,0.305664,1.832972,0.627995,0.006324,-1.006605,0.784908,1.750756,0.479753,0
-0.381959,-0.313218,-0.008658,-0.143935,0.437241,0.608815,0.867918,-0.321133,0.459443,0.034454,0.373302,0.482386,-0.33741,-0.071298,1.012512,-0.126351,0.18271,-0.413044,-0.003518,0.628735,1
-0.544097,-0.778816,-0.582247,0.39217,0.66148,-0.651543,-0.368328,0.472413,-0.887976,-0.472445,0.040376,1.684952,0.305664,-0.81914,0.185701,0.660503,-1.055545,0.930569,0.273115,-0.085838,1
-0.610029,-0.319888,1.931821,-0.045302,-0.265019,-0.914723,0.096416,0.951242,1.759298,2.240677,-0.500217,0.087296,-0.418125,0.138043,-0.473755,0.098934,0.678816,-1.795848,-2.433402,-0.393239,0
-0.894611,0.141041,0.935008,0.467319,-0.307316,-0.321575,0.176068,-0.084083,-0.510073,-0.490645,1.102444,-0.495363,0.292432,0.342673,-0.835028,0.435219,-0.230936,-0.565237,-0.557464,-0.100668,1
-1.583529,-0.169802,0.257072,-0.10569,-0.535584,-1.545563,0.224122,-0.486596,0.29916,0.547419,-0.327491,1.011169,1.35033,-0.09755,-1.428074,-0.914519,-0.037186,1.894025,-1.170542,0.254595,0
0.335888,1.846013,-1.212222,-0.33449,-1.214345,0.985732,-1.41894,-0.204972,-1.910268,-2.266814,1.387903,-0.18408,-2.975206,2.073278,0.64659,-1.897101,-1.758139,-0.060974,2.374709,-1.674076,0
1.032206,0.720038,0.327717,1.365077,1.858545,-0.277932,-0.124765,0.39137,0.039189,-0.108449,0.092458,0.600115,-0.481639,0.286131,-0.0215,-0.109931,0.872566,0.500117,0.621115,1.428247,1
0.654781,-1.727357,-0.727426,-0.971912,2.098897,0.312571,-0.786335,-0.127981,1.261509,0.75638,-0.27475,-1.007518,1.25109,-2.267705,0.422787,-0.268878,0.914132,1.43026,-0.808948,0.518178,0
1.435196,0.081674,-0.10134,0.211008,-0.126716,-0.125843,1.499865,0.100966,-0.074833,-0.174507,-0.282661,1.287866,0.101892,-0.052451,0.115306,0.585627,-0.429378,0.209447,-0.146932,-0.484246,1
-0.565626,0.720038,1.140463,0.374725,1.391938,-0.668074,0.744162,0.473764,0.308933,-0.315388,-0.055876,-0.032429,0.286478,-0.040335,-0.8596,-0.674784,0.02114,-0.143276,0.523919,0.259314,1
0.128674,2.2916,-0.043657,1.506651,-0.434206,1.061115,0.318256,-0.142839,1.111651,0.460464,0.814347,-0.162795,1.339082,0.346712,-0.267882,0.996788,-0.005677,-0.488814,-0.220339,0.208081,1
0.284757,1.02888,0.459286,0.186182,0.02233,0.572446,-0.539481,-0.147566,0.303069,-0.502104,0.712821,0.571515,-0.404893,-1.021751,0.611393,0.287437,1.516164,-0.03354,-0.471144,1.200393,1
0.391055,1.417769,-0.181059,0.576687,-0.098518,1.768,0.084567,0.137435,1.104484,-0.287751,-0.156743,0.608097,0.234212,0.256513,0.614049,0.03391,-0.337532,0.091219,-0.845652,0.952315,1
