A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,Class
0.414513,-0.371319,-0.606603,-0.648835,-0.624484,-0.668994,-0.386255,-0.456268,-0.649449,-0.579046,0.414513,-0.511356,-0.674347,-0.45344,-0.618916,-0.382405,-0.664393,-0.758362,-0.799006,-0.869562,0.414513,-0.160903,-0.446605,-0.336326,-0.569259,-0.692907,-0.241731,-0.485274,-0.625475,-0.493816,0.414513,-0.11496,-0.121404,-0.003203,-0.053098,0.202008,-0.197754,-0.264806,-0.29774,-0.347312,0
0.680019,0.017941,-0.335442,-0.149233,-0.192167,-0.134126,0.003257,-0.144074,-0.230013,-0.395412,0.680019,-0.350833,-0.739673,0.17262,-0.34732,0.184822,-0.168227,-0.475674,-0.435696,-0.731764,0.680019,0.100395,-0.191295,-0.08312,-0.191013,-0.140093,0.096303,-0.08056,-0.229504,-0.288512,0.680019,0.334722,0.163119,0.794808,0.566231,1.012049,0.496983,0.341455,0.367392,0.070053,0
0.227674,-0.059911,-0.746969,-0.301286,-0.353226,-0.197051,-0.12658,-0.23909,-0.424903,-0.802468,0.227674,-0.491899,-0.502125,-0.244754,-0.280702,0.109192,-0.505824,-0.467108,-0.497725,-0.671477,0.227674,-0.480769,-0.747506,-0.566856,-0.884464,-0.875852,-0.311972,-0.624266,-0.732387,-0.49688,0.227674,-0.104379,-0.511867,-0.12811,-0.391386,-0.426068,-0.234319,-0.411635,-0.431759,-0.528493,0
-0.037832,-0.867625,-0.657645,-1.196225,-1.094946,-1.496018,-0.960534,-0.931346,-1.24259,-0.774923,-0.037832,-1.06589,-1.247431,-1.187442,-1.46445,-1.479044,-1.155444,-1.430816,-1.583223,-1.46669,-0.037832,-0.480769,-0.698875,-0.604648,-0.825363,-0.784379,-0.606105,-0.738731,-0.783863,-0.726699,-0.037832,-0.591093,-0.197075,-0.57916,-0.271684,0.207877,-0.734043,-0.530046,-0.496287,-0.447609,0
-0.362341,-1.042792,-0.858623,-1.257046,-1.090707,-1.16341,-1.070396,-0.967542,-1.149382,-0.897346,-0.362341,-1.158313,-1.009883,-1.158658,-0.931508,-0.489548,-1.134984,-1.006785,-0.945216,-0.987265,-0.362341,-0.651964,-0.799175,-0.721803,-0.888404,-0.911646,-0.733417,-0.820491,-0.950171,-0.925875,-0.362341,-0.707482,-0.55727,-0.697127,-0.578746,-0.33215,-0.807173,-0.69582,-0.68987,-0.657909,0
-0.042749,-0.322661,-0.351392,-0.388173,-0.323558,-0.259977,-0.20648,-0.207418,-0.348641,-0.300534,-0.042749,-0.564864,-0.594175,-0.208773,-0.552298,-0.161817,-0.485364,-0.647,-0.648365,-0.634156,-0.042749,-0.237491,-0.258161,-0.260742,-0.309215,-0.33497,-0.219781,-0.207289,-0.225544,-0.178199,-0.042749,-0.003862,0.41132,0.204974,0.514187,0.783124,-0.039305,0.289355,0.2433,0.134761,0
-0.155836,-0.595143,-0.278019,-0.627113,-0.446471,-0.538648,-0.466154,-0.383875,-0.509637,-0.205656,-0.155836,-1.197227,-0.870324,-1.20903,-1.069868,-0.565178,-1.114523,-1.178111,-1.166746,-0.978653,-0.155836,-0.656469,-0.461802,-0.73314,-0.782022,-0.780402,-0.676346,-0.669235,-0.69279,-0.43866,-0.155836,-0.125541,0.217602,-0.010143,0.264373,0.483761,-0.295261,0.024115,8e-05,-0.075539,0
-0.819603,-0.274004,-0.28759,-0.197021,0.002799,0.113082,-0.32633,-0.153123,-0.187646,-0.358685,-0.819603,-0.749709,-0.475401,-0.323911,-0.290951,0.046167,-0.556976,-0.41571,-0.240749,-0.306884,-0.819603,-0.742067,-0.473959,-0.487493,-0.332855,-0.036689,-0.658786,-0.440306,-0.27702,-0.41721,-0.819603,-0.421801,-0.006384,-0.058717,0.217533,0.51311,-0.179472,0.170944,0.302864,0.25447,0
-0.59343,-1.32014,-0.995799,-1.356966,-1.213621,-1.244315,-1.230196,-1.171147,-1.2553,-0.934073,-0.59343,-1.343157,-1.360266,-1.237815,-1.367086,-1.081985,-1.134984,-1.302322,-1.259789,-1.234155,-0.59343,-0.895242,-0.714072,-0.895645,-0.892344,-0.85199,-0.926579,-0.90634,-0.97393,-0.818626,-0.59343,-0.972,-0.732827,-1.016331,-0.812946,-0.578684,-1.105788,-0.918432,-0.883453,-0.797031,0
-0.273839,0.027673,-0.469427,0.007164,-0.065015,-0.053221,0.018238,-0.116927,-0.136805,-0.444381,-0.273839,-0.550271,-0.267547,-0.331107,-0.270454,0.058772,-0.603012,-0.407144,-0.369237,-0.347076,-0.273839,-0.066295,-0.358462,-0.094458,-0.187073,-0.064528,-0.110029,-0.105088,-0.14239,-0.408017,-0.273839,0.382335,0.317488,0.551935,0.519391,0.407453,0.350723,0.526176,0.511338,0.335355,0
-0.200087,0.134719,-0.112133,0.176594,0.380016,0.29287,0.158063,0.050482,-0.069018,-0.370927,-0.200087,-0.258411,-0.181436,0.115051,-0.065476,0.046167,-0.178457,-0.137305,-0.152137,-0.217889,-0.200087,-0.273532,-0.540826,-0.287196,-0.431357,-0.350878,-0.311972,-0.403513,-0.463127,-0.552037,-0.200087,0.086074,-0.006384,0.260487,-0.021871,0.07874,0.167897,0.028852,0.139063,0.131526,0
-1.296532,-2.0646,-1.231869,-2.039032,-1.730705,-1.788173,-2.079131,-1.818158,-1.835731,-1.282979,-1.296532,-2.063079,-1.271185,-2.310033,-1.607935,-1.163918,-1.902251,-1.619275,-1.556639,-1.2887,-1.296532,-1.359272,-0.771821,-1.235772,-1.057826,-0.98721,-1.391925,-1.127093,-1.076882,-0.889104,-1.296532,-1.68091,-0.896276,-1.668619,-1.078373,-0.631513,-1.648171,-1.159989,-1.047254,-0.858503,0
-0.431176,-0.677861,-0.737398,-0.861709,-0.84488,-0.857771,-0.82071,-0.827281,-0.920599,-0.851437,-0.431176,-1.085348,-1.000975,-1.17305,-1.033997,-1.075683,-1.262862,-1.199526,-1.312956,-1.285829,-0.431176,-0.552851,-0.765742,-0.574415,-0.715041,-0.561663,-0.645616,-0.759171,-0.807622,-0.941196,-0.431176,-0.210187,-0.085082,-0.162806,0.01456,0.237227,-0.289167,-0.113241,-0.074375,-0.059362,0
-0.273839,-0.497828,-0.367343,-0.579325,-0.336273,-0.309419,-0.481136,-0.293384,-0.327458,-0.410715,-0.273839,-0.652422,-0.540726,-0.489421,-0.362694,0.008351,-0.720659,-0.527072,-0.409112,-0.516453,-0.273839,-0.435717,-0.394935,-0.27208,-0.194953,0.007059,-0.390993,-0.297225,-0.102793,-0.263998,-0.273839,-0.379478,-0.103243,-0.086474,0.056196,0.342884,-0.209943,0.00517,0.079499,-0.062598,0
0.852107,0.742938,0.021853,0.532832,0.477499,0.643456,0.882154,0.611526,0.397022,-0.178111,0.852107,0.28153,0.151131,0.978583,0.544334,0.947427,0.460932,0.363823,0.286493,-0.028416,0.852107,0.600466,-0.188255,0.502654,0.187233,0.297386,0.57921,0.234217,0.213984,-0.257869,0.852107,0.969567,0.514232,1.079317,0.701547,0.583549,0.862634,0.616168,0.546084,0.345061,0
-0.268922,0.139585,0.123937,0.150528,0.350347,0.396248,0.342831,0.421495,0.363128,0.228945,-0.268922,-0.837267,-0.635745,-0.532597,-0.593294,-0.136607,-0.649048,-0.711247,-0.626212,-0.637027,-0.268922,-0.300563,-0.294634,-0.211613,-0.234353,-0.140093,-0.320752,-0.370809,-0.312657,-0.411081,-0.268922,0.392916,0.626226,0.662963,0.95136,1.059007,0.466512,0.805624,0.853831,0.665364,0
-0.490177,-0.692458,-0.380104,-0.700967,-0.404087,-0.43527,-0.730822,-0.447219,-0.488453,-0.361745,-0.490177,-1.362615,-1.006914,-1.439305,-1.197979,-0.804674,-1.370279,-1.285189,-1.202191,-1.015974,-0.490177,-0.859201,-0.783978,-0.835178,-0.994785,-0.768471,-0.847558,-0.930868,-0.82346,-0.677671,-0.490177,-0.40064,0.166146,-0.169745,0.207125,0.601158,-0.368391,0.019379,0.059644,0.082995,0
-0.573763,-1.188765,-0.935186,-1.26139,-1.107661,-1.154421,-1.185252,-1.09423,-1.174803,-0.943255,-0.573763,-1.386936,-0.971281,-1.345756,-1.008374,-0.533666,-1.21171,-1.075315,-0.985091,-0.964299,-0.573763,-0.782613,-0.583378,-0.748257,-0.695341,-0.641205,-0.759757,-0.722379,-0.712588,-0.585743,-0.573763,-0.649287,-0.487652,-0.516707,-0.334138,-0.191273,-0.685289,-0.44479,-0.441686,-0.547906,0
-1.158861,-1.008732,-0.396054,-0.848676,-0.412564,-0.273461,-0.99549,-0.614627,-0.522347,-0.453563,-1.158861,-1.459901,-0.715918,-1.410521,-0.782899,-0.275262,-1.324243,-0.87829,-0.705963,-0.657123,-1.158861,-1.661117,-1.08184,-1.500315,-1.510934,-1.440597,-1.563137,-1.552246,-1.476813,-1.042316,-1.158861,-1.220648,-0.572404,-1.196751,-0.667222,-0.478896,-1.294708,-0.814231,-0.749434,-0.651438,0
1.284785,0.309886,0.095226,0.198316,0.057898,-0.057716,0.552568,0.109301,-0.064781,-0.055688,1.284785,0.1356,0.462912,0.309346,0.452094,1.142806,-0.142651,-0.025943,0.016226,-0.054254,1.284785,0.294116,-0.094034,0.098281,-0.301335,-0.418488,0.337756,-0.186848,-0.308698,-0.19352,1.284785,0.509304,0.465803,0.69072,0.571436,1.117706,0.271498,0.208836,0.2433,0.099172,0
0.011335,-0.400513,0.076085,-0.30563,0.074852,0.063641,-0.191499,0.091203,0.147055,0.293218,0.011335,-0.569728,-0.374443,-0.1584,-0.142342,0.525158,-0.429098,-0.312914,-0.223027,-0.347076,0.011335,-0.386161,-0.31895,-0.427026,-0.380136,-0.251451,-0.382213,-0.334017,-0.324537,-0.303833,0.011335,-0.009152,0.19036,0.433968,0.597458,1.017918,0.119144,0.365137,0.476593,0.144467,0
0.783272,0.616429,-0.124893,0.224383,-0.103161,-0.421786,0.387775,-0.026436,-0.297801,-0.377048,0.783272,0.145329,-0.273485,0.345326,-0.188462,-0.218539,-0.234723,-0.471391,-0.528739,-0.622673,0.783272,0.1049,-0.489156,-0.052887,-0.431357,-0.295199,0.056793,-0.313577,-0.360174,-0.423338,0.783272,0.784404,0.381051,1.155648,0.57664,0.788994,0.880917,0.511966,0.461702,0.33212,0
-0.460677,-0.877357,-0.737398,-0.826954,-0.743159,-0.736415,-0.710847,-0.709643,-0.768077,-0.729014,-0.460677,-1.080483,-0.766397,-0.834833,-0.695783,-0.224842,-0.863883,-0.736946,-0.692671,-0.700185,-0.460677,-0.413191,-0.331107,-0.347663,-0.257994,-0.016804,-0.531474,-0.403513,-0.261181,-0.487688,-0.460677,-0.363607,-0.021519,-0.225259,0.082218,0.225487,-0.465898,-0.099032,-0.114084,-0.175836,0
-1.178529,-1.54883,-0.810771,-1.461231,-1.014416,-0.866761,-1.464902,-1.035411,-0.967203,-0.683106,-1.178529,-1.625289,-0.998006,-1.6336,-1.085241,-0.602993,-1.42143,-1.096731,-0.971799,-0.892529,-1.178529,-1.210602,-0.653284,-1.058151,-0.849003,-0.808242,-1.185593,-0.898164,-0.930373,-0.74202,-1.178529,-1.284132,-0.372632,-1.148177,-0.375773,0.131569,-1.178918,-0.496891,-0.372195,-0.386136,0
-1.36045,-2.059734,-1.286101,-2.08682,-1.768851,-1.801657,-2.129068,-1.836256,-1.839968,-1.295221,-1.36045,-1.951199,-1.220706,-2.230876,-1.551566,-1.201733,-1.902251,-1.546461,-1.423721,-1.176739,-1.36045,-1.206097,-0.741427,-1.111059,-0.900224,-0.7287,-1.343635,-1.00854,-0.886816,-0.849269,-1.36045,-1.733814,-0.962867,-1.793525,-1.244915,-0.883917,-1.782243,-1.297345,-1.23091,-1.010566,0
-0.244338,-0.960075,-1.295671,-0.996384,-1.141568,-0.988117,-0.875641,-1.098754,-1.174803,-1.18198,-0.244338,-1.026976,-1.173197,-0.957167,-1.197979,-1.075683,-0.9713,-1.148129,-1.224344,-1.191093,-0.244338,-0.827665,-0.902515,-0.891866,-1.168148,-1.285491,-0.790488,-1.04942,-1.203593,-0.916682,-0.244338,-0.866193,-0.747961,-1.023271,-0.880604,-0.789999,-1.136259,-1.008424,-1.086963,-0.968506,0
-0.465594,-0.682727,-0.367343,-0.78351,-0.569385,-0.763383,-0.66091,-0.506038,-0.734183,-0.413775,-0.465594,-1.022111,-0.650592,-0.870814,-0.654787,-0.168119,-0.945724,-0.814043,-0.736977,-0.694443,-0.465594,-0.800634,-0.610732,-0.770932,-0.825363,-0.732677,-0.729027,-0.681499,-0.601717,-0.346732,-0.465594,-0.564641,0.069287,-0.468132,0.01456,0.319405,-0.630441,-0.179551,-0.238176,-0.230838,0
1.2307,-0.210749,-0.28759,-0.692279,-0.861834,-1.136442,-0.106605,-0.478891,-0.823154,-0.291352,1.2307,-0.350833,-0.992067,-0.460636,-1.182606,-1.233246,-0.628587,-1.178111,-1.383846,-1.25425,1.2307,0.235549,-0.543865,-0.147366,-0.722921,-1.011073,-0.009058,-0.542506,-0.795742,-0.610257,1.2307,0.133688,-0.018492,-0.017082,-0.162391,0.196138,-0.331826,-0.520573,-0.620378,-0.560847,0
-0.308256,-0.400513,0.021853,-0.448994,0.117236,0.090609,-0.306355,0.136448,-0.039361,-0.058749,-0.308256,-0.48217,-0.077509,-0.201577,0.098507,0.594486,-0.454673,-0.124456,0.020656,-0.045641,-0.308256,-0.521315,-0.358462,-0.400572,-0.372256,-0.159978,-0.562205,-0.497538,-0.344335,-0.358989,-0.308256,-0.559351,-0.066921,-0.433436,-0.021871,0.436802,-0.5695,-0.212706,-0.10912,-0.146718,0
-0.087,-0.34699,-0.376913,-0.527193,-0.28965,-0.354366,-0.421211,-0.279811,-0.5054,-0.646379,-0.087,-0.662151,-0.775305,-0.604558,-0.675285,-0.653413,-0.858767,-0.826892,-0.909771,-1.007361,-0.087,-0.142883,-0.282477,-0.309871,-0.242234,-0.338947,-0.377823,-0.264521,-0.467086,-0.702185,-0.087,-0.083218,0.120743,0.05925,0.243556,0.407453,-0.021023,0.24199,0.253227,0.209175,0
0.547266,0.290423,0.098416,0.111429,0.223195,0.099598,0.16805,0.285758,0.23179,0.143249,0.547266,-0.04438,-0.220037,0.316542,0.006267,0.30457,-0.173342,-0.222968,-0.24518,-0.427458,0.547266,0.023808,-0.136585,-0.120912,-0.124032,-0.028735,-0.017838,-0.096912,-0.14635,-0.230291,0.547266,0.435239,0.426454,1.134831,1.086675,1.616644,0.795598,0.852988,0.992814,0.480947,0
0.31126,0.295289,-0.724638,0.046264,-0.306604,-0.075695,0.0482,-0.379351,-0.475743,-1.02589,0.31126,-0.26814,-0.442738,0.035894,-0.280702,-0.042069,-0.372831,-0.377162,-0.39139,-0.527937,0.31126,0.294116,-0.242964,0.268344,0.128132,0.289431,0.276296,0.132017,0.186266,-0.17207,0.31126,0.541046,0.520286,0.628267,0.618276,0.612898,0.685903,0.583013,0.610612,0.455064,0
-0.401675,-0.814102,-0.316301,-0.892119,-0.603292,-0.848782,-0.815716,-0.515087,-0.573188,-0.230141,-0.401675,-1.036704,-0.793121,-0.971559,-0.91101,-0.546271,-1.037796,-0.985369,-0.989522,-0.892529,-0.401675,-0.651964,-0.434447,-0.661336,-0.565319,-0.525869,-0.698297,-0.599738,-0.661112,-0.582679,-0.401675,-0.495867,0.13285,-0.21138,0.38928,0.777254,-0.435427,0.166208,0.228409,-0.014067,0
-0.170586,-0.449171,-0.648075,-0.54457,-0.658391,-0.574606,-0.451173,-0.573906,-0.585898,-0.548441,-0.170586,-0.798352,-0.528849,-0.734088,-0.644538,-0.218539,-0.863883,-0.775495,-0.705963,-0.61119,-0.170586,-0.386161,-0.738387,-0.351442,-0.67958,-0.466213,-0.259291,-0.562946,-0.407691,-0.475431,-0.170586,-0.226058,-0.121404,-0.107292,-0.084324,0.002432,-0.30745,-0.222178,-0.243139,-0.298781,0
0.006419,-0.57568,-0.794821,-0.774821,-0.721967,-0.745404,-0.590998,-0.668922,-0.903652,-0.943255,0.006419,-0.837267,-0.953465,-0.820441,-0.936632,-0.716439,-0.915034,-0.981086,-0.980661,-1.013103,0.006419,-0.363635,-0.610732,-0.479935,-0.62048,-0.482122,-0.426113,-0.485274,-0.534401,-0.6409,0.006419,-0.204896,-0.466464,0.05925,-0.26648,-0.156054,-0.136812,-0.288488,-0.322558,-0.470256,0
0.881608,0.402336,-0.453477,0.015853,-0.281174,-0.628542,0.267925,-0.103353,-0.535057,-0.676985,0.881608,-0.12221,-0.733734,0.107855,-0.598418,-0.558876,-0.239838,-0.647,-0.785714,-0.89827,0.881608,0.185993,-0.370619,-0.079341,-0.395896,-0.517915,0.127034,-0.215465,-0.41165,-0.31609,0.881608,0.350593,0.12377,0.496421,0.212329,0.489631,0.338534,0.033588,8e-05,-0.078775,0
0.606267,-0.016119,-0.577892,-0.340385,-0.50157,-0.727425,-0.056668,-0.356728,-0.73842,-0.762681,0.606267,-0.491899,-0.902987,-0.280734,-0.890512,-0.609296,-0.495594,-0.963953,-1.05155,-1.102098,0.606267,0.1049,-0.270319,-0.049107,-0.187073,-0.036689,0.056793,-0.117352,-0.158229,-0.343668,0.606267,0.472272,0.111662,0.829505,0.488164,0.712686,0.582302,0.421974,0.461702,0.134761,0
-0.146002,-0.342124,-0.619363,-0.574981,-0.45071,-0.480217,-0.381261,-0.33863,-0.594371,-0.624955,-0.146002,-0.618372,-0.564481,-0.439048,-0.383191,0.020956,-0.664393,-0.509939,-0.413543,-0.493487,-0.146002,-0.660974,-0.701914,-0.748257,-0.963265,-1.078683,-0.667566,-0.820491,-0.934332,-0.674607,-0.146002,-0.416511,-0.293934,-0.48895,-0.370569,-0.167794,-0.624347,-0.454263,-0.456577,-0.392607,0
2.39598,1.433875,0.286634,1.288752,0.87167,0.935611,1.970789,1.335454,1.193526,0.767607,2.39598,1.040366,-0.20519,2.165938,0.508463,1.023058,1.25889,0.27816,0.34409,-0.186311,2.39598,1.411392,0.337562,0.763418,0.281795,-0.000895,1.013825,0.43453,0.008079,-0.156749,2.39598,1.72609,0.293273,1.95366,0.675524,0.366364,1.246568,0.37461,-0.029702,-0.437903,0
-0.898271,-0.629203,-0.491758,-0.54457,-0.361703,-0.22402,-0.74081,-0.524136,-0.424903,-0.499471,-0.898271,-1.061026,-0.620899,-0.784461,-0.542049,-0.136607,-0.940609,-0.685548,-0.524308,-0.519324,-0.898271,-0.962819,-0.507393,-0.778491,-0.585019,-0.40258,-0.95731,-0.685587,-0.55024,-0.499945,-0.898271,-0.702191,-0.045733,-0.412618,0.035378,0.477891,-0.5695,-0.141659,-0.009847,0.018287,0
-0.627848,-1.563428,-0.935186,-1.852224,-1.641699,-1.994928,-1.749545,-1.582881,-1.793364,-1.056496,-0.627848,-1.800405,-1.440438,-2.166111,-1.869282,-1.636607,-1.784603,-1.812017,-1.862351,-1.547073,-0.627848,-1.134015,-0.902515,-1.182864,-1.325751,-1.428666,-1.181203,-1.261997,-1.369901,-1.030059,-0.627848,-1.38994,-0.584511,-1.467382,-0.838969,-0.302801,-1.410497,-1.046315,-1.017472,-0.855268,0
-0.588513,-0.814102,-0.861813,-1.052861,-0.823688,-0.826308,-1.070396,-0.822757,-0.954493,-0.998345,-0.588513,-0.846995,-1.000975,-0.827637,-0.86489,-0.836187,-0.996876,-0.929688,-0.945216,-1.059036,-0.588513,-1.007871,-0.966343,-1.031696,-1.144508,-1.150271,-0.97926,-1.02898,-1.140237,-0.977967,-0.588513,-1.035485,-0.878115,-0.926121,-0.78172,-0.431938,-0.880303,-0.752657,-0.709724,-0.735558,0
-0.07225,-0.215615,-0.670405,-0.318663,-0.446471,-0.241998,-0.281386,-0.469842,-0.412192,-0.59741,-0.07225,-0.59405,-0.430861,-0.626147,-0.490805,-0.205934,-0.782041,-0.629867,-0.568614,-0.499228,-0.07225,-0.6835,-0.802215,-0.612206,-0.872644,-0.700861,-0.509524,-0.795963,-0.716548,-0.601065,-0.07225,-0.458834,-0.263666,-0.315469,-0.245662,-0.114965,-0.417145,-0.331116,-0.367231,-0.369959,0
-0.180419,-0.444305,-0.686356,-0.535881,-0.416802,-0.098168,-0.381261,-0.347679,-0.391009,-0.634137,-0.180419,-0.924825,-0.656531,-0.899598,-0.752152,-0.250052,-0.95084,-0.861158,-0.803436,-0.71741,-0.180419,-0.588892,-0.607693,-0.695349,-0.900224,-1.04289,-0.636836,-0.816403,-0.934332,-0.738956,-0.180419,-0.093798,-0.184968,-0.0379,0.019765,0.243097,-0.228225,-0.117977,0.044753,-0.111128,0
0.212924,-0.103702,-0.415195,-0.249153,-0.391372,-0.421786,-0.021712,-0.230041,-0.369825,-0.325019,0.212924,-0.452984,-0.576359,-8.6e-05,-0.465183,-0.004254,-0.280759,-0.539921,-0.471141,-0.522195,0.212924,-0.06179,-0.291595,-0.064224,-0.210713,-0.07646,0.012892,-0.088736,-0.067155,-0.123042,0.212924,0.176011,0.462776,0.406211,0.602662,0.877042,0.18618,0.369874,0.33761,0.218881,0
-0.785185,-1.106047,-0.392864,-1.16147,-0.760112,-0.862266,-1.150296,-0.718692,-0.776551,-0.33114,-0.785185,-1.732304,-1.185074,-1.957424,-1.490073,-1.107195,-1.672071,-1.520763,-1.48575,-1.234155,-0.785185,-1.2962,-0.850845,-1.273564,-1.28241,-1.237766,-1.247053,-1.176149,-1.156076,-0.748148,-0.785185,-0.903225,-0.094163,-0.877547,-0.282093,0.09635,-0.971716,-0.468472,-0.436723,-0.318193,0
-0.883521,-0.872491,-0.316301,-0.870398,-0.387134,-0.318408,-0.985503,-0.474366,-0.501164,-0.43826,-0.883521,-1.309107,-0.653562,-1.187442,-0.577921,-0.004254,-1.165674,-0.736946,-0.564184,-0.582482,-0.883521,-1.368282,-0.92987,-1.171526,-1.211489,-1.134362,-1.159252,-1.257909,-1.211512,-0.882975,-0.883521,-1.151873,-0.466464,-1.016331,-0.557929,-0.144314,-1.063129,-0.69582,-0.605487,-0.492904,0
0.080171,-0.303198,-0.53961,-0.401206,-0.421041,-0.462238,-0.201486,-0.297909,-0.471506,-0.618834,0.080171,-0.647558,-0.680286,-0.395872,-0.562547,-0.187027,-0.674623,-0.719814,-0.705963,-0.794921,0.080171,0.185993,-0.094034,0.090722,0.120252,0.186027,-0.066129,0.013464,-0.0038,-0.322218,0.080171,0.218334,0.344729,0.475604,0.404893,0.51898,0.241027,0.313037,0.193663,0.189763,0
