A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
1.0,0.374737,0.0075,0.5,0.230769,0.375,0.002982,1.0,0.0,0.0,1.0,0.5,0.14,0.0,1
1.0,0.209323,0.491071,0.5,0.615385,0.375,0.201754,1.0,0.0,0.0,1.0,0.5,0.2435,0.005,1
1.0,0.210526,0.020893,0.0,0.923077,0.375,0.008772,1.0,1.0,0.029851,0.0,0.5,0.13,0.005,1
1.0,0.078947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.059701,0.0,0.5,0.0225,1e-05,0
0.0,0.169173,0.03125,0.5,1.0,0.875,0.036491,1.0,0.0,0.0,1.0,0.5,0.08,0.0586,1
1.0,0.209323,0.071429,0.5,1.0,0.875,0.035088,1.0,1.0,0.059701,0.0,0.5,0.07,0.07544,1
1.0,0.12782,0.321429,0.5,0.384615,0.375,0.002982,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
0.0,0.542556,0.485179,0.5,0.230769,0.875,0.298246,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1
1.0,0.279398,0.089286,0.5,0.538462,0.375,0.04386,0.0,0.0,0.0,1.0,0.5,0.14,0.0,0
1.0,0.368421,0.361607,0.0,0.230769,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0
1.0,0.504962,0.232143,0.5,0.538462,0.375,0.035088,0.0,0.0,0.0,1.0,0.5,0.0,0.00228,0
1.0,0.211729,0.142857,0.0,0.153846,0.875,0.201754,1.0,1.0,0.029851,1.0,0.5,0.0375,0.0,0
0.0,0.330827,0.032679,0.5,0.384615,0.375,0.026316,1.0,1.0,0.059701,0.0,0.5,0.0,0.01583,1
1.0,0.298195,0.008929,0.5,0.153846,0.5,0.140351,0.0,0.0,0.0,1.0,0.0,0.21,0.0,0
1.0,0.305714,0.002857,0.0,0.461538,0.5,0.001404,1.0,1.0,0.014925,1.0,0.5,0.14,0.02,1
0.0,0.105263,0.369107,0.5,0.923077,0.875,0.011754,1.0,1.0,0.014925,1.0,0.5,0.04,0.0005,1
1.0,0.29203,0.035714,0.5,1.0,0.375,0.026316,1.0,1.0,0.104478,1.0,0.5,0.17,0.04071,1
1.0,0.135338,0.392857,0.5,0.769231,0.375,0.087719,1.0,1.0,0.104478,1.0,0.5,0.05,0.00809,1
1.0,0.526316,0.303571,0.5,0.538462,0.875,0.438596,1.0,1.0,0.134328,0.0,0.5,0.0905,0.01655,1
1.0,0.403459,0.178571,0.5,0.538462,0.375,0.175439,1.0,1.0,0.104478,0.0,0.5,0.0,0.03065,1
1.0,0.10406,0.029821,0.0,0.538462,0.375,0.070175,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0
0.0,0.37594,0.053571,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.038,0.0,0
0.0,0.651579,0.696429,0.5,0.538462,0.375,0.192982,1.0,1.0,0.104478,0.0,0.5,0.0,0.03,1
0.0,0.263158,0.133929,0.5,0.923077,0.875,0.02193,1.0,1.0,0.134328,1.0,0.5,0.0905,0.0,1
1.0,0.12406,0.028214,0.5,0.615385,0.375,0.010175,0.0,1.0,0.014925,0.0,0.5,0.21,0.00283,0
0.0,0.670376,0.357143,0.5,0.769231,0.375,0.140351,1.0,1.0,0.208955,0.0,0.5,0.0,0.01602,1
1.0,0.22812,0.013393,0.5,0.538462,0.375,0.010175,0.0,0.0,0.0,0.0,0.5,0.11,0.0014,0
0.0,0.484962,0.142857,0.5,0.307692,0.25,0.0,1.0,0.0,0.0,0.0,0.5,0.05,0.0096,1
1.0,0.109023,0.107143,0.0,0.076923,0.375,0.03807,1.0,1.0,0.119403,1.0,0.5,0.08,1e-05,1
0.0,0.165414,0.446429,0.5,0.384615,0.375,0.052632,1.0,1.0,0.179104,1.0,0.5,0.06,0.00567,1
0.0,0.106466,0.017857,0.0,0.692308,0.125,0.035088,0.0,0.0,0.0,0.0,0.5,0.13,0.0,0
1.0,0.162857,0.482143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.092,0.0,0
0.0,0.191729,0.096786,0.0,0.538462,0.375,0.002982,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0
1.0,0.408571,0.029821,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.065,1e-05,0
0.0,0.369624,0.157679,0.5,0.538462,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0
1.0,0.087669,0.020893,0.5,0.0,0.0,0.0,0.0,1.0,0.044776,0.0,0.5,0.175,0.00769,0
1.0,0.383459,0.339286,0.5,0.461538,0.375,0.22807,1.0,1.0,0.208955,0.0,0.5,0.12,0.04607,1
1.0,0.180451,0.017857,0.5,0.538462,0.375,0.051228,1.0,1.0,0.074627,1.0,0.5,0.156,0.0,1
0.0,0.486165,0.107143,0.5,0.538462,0.375,0.083333,1.0,1.0,0.119403,1.0,0.5,0.198,0.04159,1
1.0,0.089023,0.357143,0.0,0.230769,0.875,0.029298,1.0,0.0,0.0,1.0,0.5,0.07,0.0,0
0.0,0.12782,0.044643,0.0,0.0,0.0,0.114035,0.0,0.0,0.0,0.0,0.5,0.14,0.0,0
1.0,0.076391,0.126429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.09,1e-05,0
1.0,0.756842,0.714286,0.5,1.0,0.875,0.614035,1.0,1.0,0.134328,1.0,0.5,0.0,0.01,1
0.0,0.041353,0.044643,0.5,0.769231,0.375,0.008772,0.0,1.0,0.014925,0.0,0.5,0.054,0.00098,0
0.0,0.825865,0.535714,0.5,0.692308,1.0,0.0,1.0,1.0,0.208955,0.0,0.5,0.0,0.03376,1
1.0,0.947368,0.796071,0.5,0.692308,1.0,0.447368,1.0,1.0,0.014925,1.0,0.5,0.0,0.00109,1
0.0,0.032632,0.102679,0.5,0.769231,0.375,0.002982,0.0,0.0,0.0,0.0,0.5,0.06,0.0,0
1.0,0.316992,0.142857,0.5,0.076923,0.5,0.438596,1.0,0.0,0.0,1.0,0.5,0.092,0.0,0
0.0,0.506316,0.285714,0.5,0.692308,0.5,0.22807,1.0,1.0,0.089552,0.0,0.5,0.1875,0.511,1
1.0,0.141654,0.0,0.5,0.538462,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.092,0.0,1
1.0,0.472481,0.053571,0.5,0.538462,0.375,0.087719,1.0,0.0,0.0,1.0,0.5,0.07,0.0,0
1.0,0.021353,0.25,0.5,0.692308,0.375,0.035088,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0
1.0,0.076391,0.014821,0.0,0.538462,0.375,0.005789,0.0,1.0,0.014925,0.0,0.5,0.1,1e-05,0
1.0,0.582707,0.232143,0.5,0.230769,0.375,0.220702,1.0,1.0,0.223881,0.0,0.5,0.0,0.11202,1
1.0,0.081504,0.0,0.0,0.461538,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,1e-05,1
1.0,0.06391,0.005893,0.5,0.769231,0.75,0.007368,0.0,0.0,0.0,0.0,0.5,0.1,0.0004,1
1.0,0.357143,0.029821,0.5,0.692308,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.06,5e-05,0
1.0,0.134135,0.056607,0.0,0.615385,0.375,0.108246,1.0,1.0,0.089552,0.0,0.5,0.04,0.0,1
1.0,0.512481,0.14875,0.5,1.0,0.5,0.002982,0.0,0.0,0.0,1.0,0.5,0.26,0.0,0
1.0,0.305714,0.089286,0.5,0.538462,0.375,0.035088,0.0,0.0,0.0,0.0,0.5,0.23,0.00016,0
0.0,0.290677,0.058036,0.5,0.076923,0.375,0.018947,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0
1.0,0.441053,0.013393,0.0,0.538462,0.375,0.013158,1.0,1.0,0.119403,1.0,0.5,0.15,0.00162,1
1.0,0.31203,0.144286,0.0,0.153846,0.5,0.298246,1.0,1.0,0.104478,1.0,0.5,0.0975,0.0,1
1.0,0.43609,0.107143,0.5,0.153846,0.5,0.035088,1.0,0.0,0.0,0.0,0.5,0.0,0.002,0
1.0,0.067669,0.005893,0.5,0.076923,0.375,0.008772,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0
1.0,0.140301,0.089286,0.5,0.0,0.0,0.002982,0.0,0.0,0.0,1.0,0.5,0.05,0.04208,0
0.0,0.131579,0.302143,0.0,1.0,0.375,0.086316,0.0,0.0,0.0,0.0,0.5,0.082,0.0,1
1.0,0.062707,0.007321,0.5,0.384615,0.375,0.001404,0.0,0.0,0.0,0.0,0.5,0.14,0.0075,0
1.0,0.070226,0.371964,0.0,0.384615,0.375,0.004386,1.0,0.0,0.0,0.0,0.5,0.06,0.00375,0
0.0,0.209323,0.053571,0.5,0.461538,0.375,0.070175,1.0,0.0,0.0,0.0,0.0,0.184,0.0,0
0.0,0.077744,0.330357,0.0,0.538462,0.375,0.035088,1.0,1.0,0.059701,1.0,0.5,0.04,0.005,1
1.0,0.134135,0.026786,0.5,0.153846,0.375,0.055614,0.0,1.0,0.014925,1.0,0.5,0.2,9e-05,0
1.0,0.733083,0.455357,0.0,0.538462,0.875,0.175439,1.0,0.0,0.0,0.0,0.5,0.056,0.0,0
0.0,0.146617,0.321429,0.5,0.769231,0.375,0.298246,1.0,1.0,0.074627,1.0,0.5,0.06,0.0,1
1.0,0.323308,0.113036,0.5,1.0,0.875,0.131579,1.0,0.0,0.0,1.0,0.5,0.34,0.0,0
0.0,0.64782,0.151786,0.0,0.0,0.0,0.175439,0.0,0.0,0.0,1.0,0.5,0.0,4e-05,0
0.0,0.595188,0.005893,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.031,0.00027,0
1.0,0.412331,0.144286,0.5,0.923077,0.875,0.245614,1.0,1.0,0.119403,0.0,0.5,0.16,0.0,1
1.0,0.427368,0.18,0.5,0.769231,0.875,0.447368,1.0,0.0,0.0,1.0,0.5,0.046,0.0,1
1.0,0.412331,0.044643,0.0,0.615385,0.375,0.008772,0.0,0.0,0.0,0.0,0.5,0.0,0.00195,0
0.0,0.300752,0.026786,0.5,0.230769,0.5,0.035088,1.0,1.0,0.044776,1.0,0.5,0.106,0.0,0
1.0,0.179248,0.446429,0.5,0.923077,0.375,0.042456,1.0,1.0,1.0,1.0,0.5,0.07,0.00258,1
1.0,0.159098,0.236607,0.0,0.076923,0.375,0.192982,1.0,0.0,0.0,1.0,0.0,0.05,0.0,1
1.0,0.14406,0.415179,0.0,0.615385,0.375,0.029298,1.0,0.0,0.0,1.0,0.5,0.08,0.003,1
1.0,0.254436,0.089286,0.5,0.923077,0.875,0.078947,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0
1.0,0.35218,0.142857,0.5,0.538462,0.5,0.175439,1.0,0.0,0.0,1.0,0.0,0.14,0.0,0
1.0,0.18797,0.055,0.5,0.615385,0.375,0.004386,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0
0.0,0.240602,0.02375,0.5,0.615385,0.375,0.008772,0.0,0.0,0.0,1.0,0.5,0.15,0.0,0
0.0,0.139098,0.065536,0.5,0.307692,0.25,0.0,0.0,1.0,0.014925,0.0,0.5,0.1,0.00053,0
1.0,0.052632,0.107143,0.5,0.230769,0.375,0.001404,0.0,0.0,0.0,1.0,0.5,0.08,0.0004,0
1.0,0.233083,0.528214,0.5,0.384615,0.375,0.176842,1.0,1.0,0.074627,1.0,0.5,0.084,0.0,1
0.0,0.223008,0.126429,0.5,0.153846,0.5,0.017544,1.0,0.0,0.0,1.0,0.5,0.0855,0.0,0
1.0,0.313233,0.0,0.5,0.538462,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.092,0.0,0
1.0,0.145414,0.020893,0.5,0.538462,0.875,0.002982,1.0,0.0,0.0,0.0,0.5,0.09,0.0,0
1.0,0.169173,0.401786,0.5,0.538462,0.375,0.087719,1.0,1.0,0.253731,0.0,0.5,0.1,0.01208,1
0.0,0.075188,0.267857,0.5,0.769231,0.375,0.095088,1.0,1.0,0.074627,0.0,0.5,0.092,0.26726,1
1.0,0.050075,0.008929,0.5,0.769231,0.375,0.011754,0.0,1.0,0.059701,0.0,0.5,0.08,8e-05,0
0.0,0.035038,0.011964,0.5,0.0,0.0,0.0,0.0,1.0,0.014925,0.0,0.5,0.08,0.00126,0
1.0,0.288271,0.089286,0.5,0.384615,0.375,0.061404,0.0,1.0,0.029851,1.0,0.5,0.36,0.0,0
0.0,0.098947,0.357143,0.5,0.538462,0.875,0.035088,1.0,1.0,0.059701,0.0,0.5,0.025,0.01465,1
0.0,0.120301,0.0625,0.0,0.307692,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.08,0.0,0
1.0,0.29203,0.037143,0.5,0.846154,0.875,0.22807,1.0,0.0,0.0,1.0,0.5,0.082,0.31285,1
0.0,0.174135,0.074464,0.5,0.538462,0.875,0.096491,1.0,0.0,0.0,1.0,0.5,0.18,1e-05,0
0.0,0.165414,0.107143,0.5,0.769231,0.875,0.064386,1.0,1.0,0.283582,0.0,0.5,0.0,0.005,1
1.0,0.256842,0.0,0.5,0.615385,0.375,0.04386,1.0,1.0,0.014925,0.0,0.5,0.101,0.0,1
1.0,0.105263,0.181607,0.0,0.307692,0.375,0.010175,0.0,0.0,0.0,0.0,0.5,0.07,0.00184,0
0.0,0.399699,0.290179,0.0,0.230769,0.375,0.005789,0.0,1.0,0.029851,0.0,0.5,0.092,0.00018,0
1.0,0.235639,0.044643,0.5,0.538462,0.875,0.008772,0.0,1.0,0.029851,1.0,0.5,0.2,0.00108,0
1.0,0.408571,0.017857,0.0,0.461538,0.375,0.017544,0.0,0.0,0.0,1.0,0.5,0.065,0.0,0
0.0,0.236842,0.016429,0.5,0.230769,0.375,0.018947,1.0,1.0,0.059701,0.0,0.5,0.19,0.005,1
1.0,0.611579,0.017857,0.0,0.230769,0.875,0.138947,1.0,0.0,0.0,0.0,0.5,0.09,0.00314,1
1.0,0.304511,0.196429,0.0,0.538462,0.375,0.052632,0.0,0.0,0.0,1.0,0.5,0.03,0.0,0
1.0,0.169173,0.428571,0.5,0.230769,0.375,0.078947,1.0,1.0,0.029851,1.0,0.5,0.06,5e-05,0
0.0,0.192932,0.090714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.09,0.0006,0
0.0,0.290677,0.165179,0.5,0.769231,0.875,0.057018,1.0,1.0,0.029851,0.0,0.5,0.0,0.0,1
1.0,0.299549,0.077321,0.5,0.538462,0.375,0.052632,0.0,0.0,0.0,0.0,1.0,0.06,0.0,0
1.0,0.337143,0.196429,0.5,0.153846,0.5,0.175439,0.0,0.0,0.0,0.0,0.5,0.105,0.00687,0
1.0,0.086466,0.010357,0.5,0.230769,0.375,0.010175,0.0,0.0,0.0,0.0,0.5,0.14,0.00364,0
1.0,0.156692,0.03125,0.5,0.769231,0.375,0.162281,1.0,1.0,0.029851,1.0,0.5,0.26,0.02,1
0.0,0.25188,0.232143,0.5,0.538462,0.5,0.140351,1.0,1.0,0.104478,1.0,0.5,0.0,0.03065,1
