cv1,cv2,cv3,cv4,cv5
6414,3129,6477,3916,2599
1160,2905,2432,281,2503
4994,3704,3665,3958,1655
6822,5264,4139,4667,2925
7142,315,2472,1141,2124
1434,5799,4200,4188,3794
2161,2490,3181,3142,7058
580,421,5845,216,4790
3359,2931,4286,999,605
971,1719,3169,3594,5279
4459,2681,1983,4041,1122
2563,5474,60,3990,1226
1626,188,7010,2313,3936
4588,4895,3573,2904,6756
5543,7351,6994,3310,2690
5552,7212,6640,5763,6410
5382,2226,5945,5521,671
709,5304,4340,3729,242
5856,2775,7462,83,3839
3215,5881,3376,4266,7028
1968,1062,4114,1025,4900
6012,6169,358,4475,6007
3555,6310,4191,370,6074
4469,6754,2630,2697,6839
6809,1121,5903,1836,4394
1489,4721,3209,3619,883
4194,3472,7318,395,3264
1154,2316,5410,5181,2156
4373,4716,7134,9,4884
4582,563,1794,1098,2426
7400,5948,5534,5953,3280
4106,548,5147,4233,6668
3672,4846,6536,1590,2864
7207,5991,6302,4226,3325
4193,4330,4741,3846,7385
263,3365,797,1086,1873
572,1588,1514,1926,2415
4094,6952,1246,1748,3160
1500,3099,6305,3824,2259
2582,3781,243,6898,6538
7259,672,4298,680,5885
2799,2204,3507,4321,1724
1867,5714,5891,610,5338
4429,7150,5705,7273,2878
1613,3808,6610,5847,3629
1342,4897,951,6544,6966
256,4156,4650,6499,6961
3121,3429,1257,3841,814
892,2486,6170,7126,1007
4952,5072,2337,5445,2749
1068,5618,6875,5920,5997
652,715,7412,3384,2344
3391,6385,1327,3570,223
3188,5332,4517,1247,3564
3903,998,5435,1848,7399
4061,566,3397,4923,6945
3559,5165,4999,6651,4274
2819,1103,6272,6937,5084
5458,3742,1172,6923,4928
7476,4393,6529,2154,5815
5923,7032,6637,3137,545
4960,623,643,2496,2480
6594,1591,3230,2977,4691
5101,4519,5475,1094,4560
6029,1361,6520,4570,2101
4965,3464,4477,1454,4616
2434,4221,5671,3635,4677
1844,575,2632,3682,5674
3194,7151,16,5301,3201
4542,5433,6250,3815,3180
193,7104,3807,1450,1610
849,2549,838,5974,1842
1213,6720,6563,3027,2056
6794,7232,3663,4877,2816
4014,557,4523,4185,3607
2029,113,3963,5947,5257
631,4954,2946,4932,2596
2980,3089,944,5755,4381
4153,3952,3820,2952,2522
1133,4197,4433,3567,5268
1718,2664,986,5379,2221
3810,7303,4921,4755,1899
4605,241,2552,350,3033
1975,2678,3427,6255,5562
3930,5807,7094,834,7397
2147,3479,2030,1895,7367
271,231,3901,3965,4845
240,2297,5012,4009,2054
7377,7285,7125,4554,777
3336,3437,1383,2440,5811
166,6639,3096,3067,3375
6028,685,2281,1441,4104
3666,1518,3454,3219,6339
7396,2589,6601,673,5137
483,5467,1612,1037,1304
2095,658,5728,2875,7306
1352,2377,3157,4092,4729
4809,5843,6949,6685,3685
2120,3081,5272,4770,2359
6726,6164,954,3699,2039
7002,1105,4195,4102,885
471,128,4559,1201,3224
3899,5146,2990,304,3488
4115,1486,1372,3934,191
6333,1112,4415,258,1206
6505,7131,2322,1751,1521
7138,6786,6474,2137,896
2680,3687,6143,4064,4470
5097,4906,6289,1439,2003
5569,4628,3262,809,7457
1150,4851,6704,7,5287
7230,2200,3580,2272,2250
106,6054,192,3623,7479
4385,6611,7444,972,4333
1840,3767,2157,300,1065
4010,449,5477,4250,1433
393,4828,2340,889,6787
2733,6531,5810,6964,1451
3306,2232,4241,1048,2241
1021,1978,5436,4145,934
3362,6761,2275,4704,6294
1446,5544,4358,4492,1755
5730,4423,2026,182,93
1661,2533,3149,4252,7249
6261,2967,7409,1445,2224
1196,1379,1490,925,1830
1058,6943,1933,5163,6872
1810,7197,234,4496,6515
5070,853,2548,6870,5375
6953,5846,2739,661,1974
1491,4217,3233,5107,4793
3777,6091,6918,3948,1280
7077,3902,5066,3676,1302
5803,6608,1301,4315,6453
6437,3101,134,3826,5979
4969,3461,2008,4023,5538
4976,3268,6496,3942,4579
2298,7398,5780,3694,653
757,2290,1074,6686,6097
2188,6099,2736,6173,5267
1020,1677,1233,4551,4159
2376,5996,1819,3073,903
2388,4688,1417,3300,612
5509,3285,3330,1835,3591
5771,1171,3512,1495,6401
6166,3493,4685,3447,619
6455,5201,4463,6165,6788
2021,2321,5016,6336,6749
320,4503,1444,190,6343
3003,2265,1296,2249,4818
4526,1270,3486,5659,3789
5177,5461,2071,6621,7048
614,5658,4202,2550,6178
3026,3532,6148,1145,4210
5090,5453,1780,3383,6528
5327,529,3850,5514,222
3604,4585,2636,2856,3751
1981,4696,2239,1052,2701
6263,6816,2784,5556,2064
1609,4052,6280,322,7417
2199,3802,5259,3213,4424
2994,7378,2133,7256,6712
4971,899,3134,726,6391
929,5059,6739,4396,5160
4346,765,7337,3652,4878
766,247,3795,6233,1165
162,3771,3344,4020,5217
2489,4412,5688,3612,3975
3234,332,3117,6867,1785
1328,887,2493,2543,6199
1220,2050,2788,2737,3102
5925,4826,6674,3539,1894
1657,3650,3106,5007,427
1851,4375,3844,5513,6010
6380,2351,5172,1850,6595
2020,3009,3052,2078,7435
1380,6317,1910,5561,6016
1166,4771,630,2283,4985
5993,1264,7352,6960,5967
1536,1102,3944,1492,2482
2437,2191,1767,4331,7264
6179,4789,424,1816,4638
7472,6435,5916,6768,5518
2921,6924,398,760,3537
1377,641,404,2417,6833
1391,3917,5297,7443,6907
6238,3946,7220,1649,2171
3845,5080,5442,5130,1152
4040,1946,2727,3828,5047
4573,561,5389,7128,5912
6642,2292,5062,636,6297
2269,6253,5902,5835,28
5076,5033,1714,2345,3747
197,3341,6146,2604,4575
6075,3587,1650,1002,6050
830,7375,3522,4939,1838
2529,4387,2958,2296,3394
4128,4042,2247,502,921
6286,3981,4689,1963,6331
7017,597,882,1095,5499
2371,4814,2217,4511,1255
1010,6308,4604,62,6187
459,2335,5586,1927,3633
962,3738,2954,6290,6556
3711,2014,5572,6880,2389
4578,2748,1883,3354,2427
7121,5173,1029,4715,5851
7219,5103,5384,3508,1941
552,14,2327,6871,5598
5701,3556,2871,1216,915
3664,1727,4959,1424,2915
5246,4457,4056,3913,718
6287,3518,254,5184,5286
6777,6000,1083,784,3183
3906,6375,129,4603,569
6899,4048,5116,794,1882
4661,2898,808,4267,2291
4468,2707,1562,3514,5185
3453,904,2668,6733,5387
1043,3058,6913,383,2319
5571,993,3760,4402,3125
2089,346,1735,440,912
4329,4649,4634,2912,6288
7195,1215,3083,1199,2331
6393,2349,2236,6353,2932
3504,5988,2036,957,5128
7089,5407,5753,1897,6665
4314,3065,5609,946,3061
5322,409,7233,6914,3303
5451,1041,4992,2684,4257
3078,6216,6981,1533,2895
4323,3282,4653,1720,494
5069,4600,4318,902,4827
1291,3535,2363,2609,4351
3536,50,2654,5613,2375
2845,5634,4327,6740,2383
2623,1442,6030,5932,945
4279,931,255,4208,5483
2449,2099,2896,5218,6926
6059,4189,6539,2135,3247
801,2097,6743,5391,3430
1826,4728,4679,662,2160
3964,6332,4968,7023,6598
2366,3439,940,1348,1731
1831,6234,3653,5180,6354
3779,1570,1479,6554,3887
232,4669,7035,3835,1406
1891,1749,5208,5708,2216
2441,1871,6002,2842,3888
5624,556,7025,4030,6144
1000,419,6791,6313,5380
7153,5276,7190,2329,1877
4443,5133,7079,3192,6345
6350,1614,2381,3382,4924
1416,3813,198,2602,3874
7468,3973,2592,2393,4408
7110,5865,7049,37,7221
3274,86,6503,3506,4070
4513,5464,2989,5507,3876
1003,4702,2499,4610,6757
5192,4621,7374,6025,3737
3945,3355,2007,5909,6779
601,4162,4754,2006,6633
4066,500,5340,5290,4016
1939,1586,1782,4483,568
720,5106,3335,4888,209
2464,5928,4258,1360,3161
6572,5501,6947,4990,4674
1622,4752,5752,3994,5698
414,3480,6064,4160,4389
901,1594,5073,6609,4421
2526,5785,1315,5899,6133
1868,4187,3442,657,220
3243,3257,909,3152,6939
5588,3848,7394,638,4075
2435,6592,7041,2445,1512
6298,5277,2251,7196,2962
1241,4533,5802,6327,2696
6419,7413,57,6532,295
7372,2288,1143,2143,4665
7144,30,7148,170,6617
4290,4205,1890,6844,512
5450,2801,2698,2710,4474
5354,2521,1912,5897,3226
1854,5757,5750,5550,4230
5140,3013,7020,755,886
4815,7227,6917,1040,6274
3560,3478,1321,2538,1545
4707,2,3465,6013,6675
4654,4964,683,5557,749
4499,6698,6992,4300,5566
3865,4414,1440,852,4293
3530,6718,5024,4835,3317
824,7076,1193,5498,7075
2605,2031,2820,2378,6717
6340,3926,5942,6210,1938
2682,5348,2634,3155,5756
943,3318,4687,1593,495
2870,7384,5195,5495,6200
420,2615,5633,4662,1567
1333,4833,3309,3503,553
7167,2810,371,6408,5027
1405,6084,6834,7424,513
3350,144,5727,5349,1091
410,6508,3731,6688,5764
6190,2374,7421,4304,4935
651,6507,6502,3455,4382
3139,6101,3278,5672,768
153,6849,511,82,4426
3782,2767,3703,3529,6309
4245,6004,2732,6065,1715
6285,2201,6541,6804,7031
2209,4727,1552,5682,2918
5994,2220,6631,3075,7429
183,2833,5995,744,217
4261,6109,6990,3730,3759
7381,3646,716,7247,6451
4512,3389,6296,3127,2835
1861,111,4528,7321,5247
7055,4386,7137,4322,3971
2447,1343,6037,6965,1425
3392,5504,1740,6425,6275
682,6561,2813,2888,6051
4400,6703,907,2616,6483
4054,6342,5429,1465,5703
6772,361,841,1837,1947
5525,5361,5635,6365,4047
4910,34,5412,1759,1903
980,2709,4951,4919,138
4830,2714,1085,2233,1702
670,1793,1128,3606,2899
4462,1061,1496,4609,2399
6429,1502,3115,477,2504
1911,2789,6182,4401,3960
2025,1915,3050,3319,4636
290,3435,4552,6623,5271
3590,1303,1568,6374,4464
5085,1815,4353,692,2729
2115,2038,2673,6386,3288
525,3095,5943,3326,5583
1089,4177,246,4890,2211
5333,3644,3998,53,1812
1487,4963,813,6748,4359
203,1733,603,7223,984
7411,4502,5472,6993,1284
4141,417,55,39,3643
5607,169,1923,347,1394
2950,2451,2838,5296,3390
6750,2887,1431,4962,413
4535,296,1976,2777,5527
910,1151,2084,7159,1447
6223,2695,5768,438,6715
1777,2309,3525,3951,77
4666,1811,7258,6140,4179
7299,6202,172,5204,1907
6361,1778,5281,7294,7064
2242,3110,2066,2638,3562
4173,4561,1427,4184,3793
4555,6774,4148,1282,2611
6307,135,5280,1618,3345
7161,6052,4569,6769,2332
1529,5921,5985,5824,5439
7066,292,227,6500,5574
4345,210,4305,5006,1045
5169,6865,3838,2508,6358
6488,3719,260,7178,1892
42,1088,3417,3468,2192
1400,833,1676,6078,3369
2553,6266,4693,1522,1752
6081,1936,5547,3647,4175
1648,3978,3346,5298,6153
6661,5726,3622,650,5138
1817,4676,3632,5704,4614
5470,1965,3585,5532,1221
1276,7087,1669,4442,2091
5832,2839,2743,6257,3658
1309,5409,3859,3195,6908
2949,5191,4892,6975,1387
364,722,7323,4039,6863
3124,5419,6071,6403,1137
1131,1032,3223,723,1222
1144,3575,3403,6048,1156
1754,4174,2670,2355,5882
336,530,6752,1875,6691
5235,174,1311,4991,7065
3492,3220,1569,4350,2546
5041,3558,7095,207,4000
1475,4105,6406,2098,386
105,6852,4544,2189,382
5403,1523,1829,3878,5677
6564,7440,4407,6643,2473
3907,1804,1697,5406,2834
4987,5294,3238,2501,1664
5242,5992,5924,2677,6411
3440,508,5884,3707,3456
2866,2999,133,5739,2537
4413,4713,5161,1235,1631
747,2619,4663,5549,857
2720,1420,5118,319,3625
1928,6489,4476,4494,3875
5331,110,1818,1013,5089
3546,5037,7432,2074,3410
7362,4522,5392,446,5796
6792,4485,958,3869,2656
4844,7242,7013,117,5959
701,2843,1096,4738,6228
1292,5351,1078,1167,269
4986,2571,2893,3148,5009
3339,5465,6985,7425,7003
2311,1967,3624,532,4584
2507,2350,5164,124,3921
4880,3202,519,7271,622
696,6418,2823,5036,2802
4308,1671,6877,2731,2901
6371,4222,400,1834,3974
5489,6079,3814,1679,1876
7154,1630,1453,6485,4376
3023,916,1563,2914,36
7107,2660,5673,2386,5188
6155,5229,5998,7162,5962
2941,4137,702,2140,5448
752,4136,5662,1155,4785
233,2396,5511,2879,257
3613,5386,837,313,4929
1935,772,2520,6044,5560
213,5365,6245,6744,3598
3800,6364,6450,5350,1849
6735,3320,4383,521,5887
2108,4253,2328,669,1158
3452,906,439,2454,4218
1551,4629,2648,3600,1443
1334,1499,5241,2694,5245
2763,5523,1717,5888,3302
2666,6997,119,4012,7338
4996,3605,1898,3170,3297
1251,4147,5626,3979,6983
2934,6678,2640,3716,5801
7305,98,7203,1047,5954
5825,1332,4324,740,4348
1125,6851,4944,1016,5025
7473,851,2167,1072,2301
4948,147,5219,5519,706
1212,2716,2756,4355,4838
5760,1438,2614,3925,4334
7083,6722,497,4256,4419
5321,5341,871,146,3151
699,1134,6346,157,5054
3883,6543,5873,1760,5154
773,3849,3351,48,5619
1194,7433,1692,5632,3489
408,5643,2049,2728,4950
1157,5092,137,5986,2002
4338,6559,3379,6098,922
4854,145,1535,4098,143
488,1055,782,7280,2523
2547,3163,1508,3498,4398
1358,3175,4591,6095,1101
7073,4227,7045,822,3908
5139,3754,2453,1672,2225
2028,282,4672,226,4172
4596,2483,4251,5120,2420
6357,4640,5784,3004,5853
352,1283,2587,3225,5134
4516,5152,7481,753,5938
318,3084,3640,6009,5573
3905,103,1942,2779,90
480,2635,1585,2466,3173
4539,4536,7092,5388,1768
573,1239,491,5949,4894
6719,4626,1914,5776,4558
6122,3016,4823,6320,6197
4460,1034,564,535,1426
6045,6102,5761,6056,4762
7345,3746,2859,6612,2846
908,3154,1263,2103,679
5805,4295,1774,3950,6588
501,3031,7034,5637,5104
4857,3659,5376,5889,4028
771,4643,1138,5117,4711
3796,890,5438,3104,7224
2333,5236,6593,6672,2130
6196,4087,4692,1870,7191
369,1734,4710,1929,3167
6890,7039,2433,1917,6636
7176,6793,3393,6439,6534
4797,1918,20,7437,2844
180,1791,6409,5968,1511
812,66,1376,3085,1639
5408,1707,4620,2764,4839
7379,629,156,6615,1578
7018,1092,7459,6835,1736
1577,6699,2608,94,5209
3210,447,6021,6796,3190
4758,4955,5299,4606,1318
1847,4720,3832,4377,811
5568,1238,4155,2627,7369
4842,5848,3057,3542,2514
4645,2916,3502,487,4097
6314,6600,2964,1841,5156
7371,7477,4361,6725,3130
5898,5273,6103,3977,596
1410,1971,736,1616,1087
6828,4341,5013,4740,5330
6093,2379,1608,6431,373
1695,4086,4027,6902,2922
5530,4278,2781,2722,2597
3074,7354,4589,1889,7471
6655,3164,2223,5328,4297
7231,6513,6525,3725,2072
1922,4068,6801,4285,2248
5400,499,2890,4510,5317
1331,4059,646,6971,6497
1063,6461,7139,5314,4862
1259,2560,6709,2481,6369
1712,2817,1640,5303,5612
6230,6679,1346,574,451
2576,6553,3785,7395,4527
4836,1474,6113,930,4980
577,5831,5829,1448,3726
3701,7431,6116,750,7192
6741,4874,1449,4753,5563
3458,5819,4299,6330,1313
1656,3776,3381,2943,681
302,990,5124,503,1272
4392,3107,1459,1497,2168
1930,7484,2689,3143,1880
1678,5629,286,4404,691
3495,3618,5762,359,4069
2827,6995,4255,3374,7445
5849,3020,5178,2362,3830
776,3313,5378,355,5231
4942,3312,3425,4983,2053
1637,5872,4697,6213,305
2462,4287,3970,3617,6860
2277,2004,6193,6855,1953
2139,7408,2235,1409,3891
879,38,5150,3548,1056
5132,6231,7308,5171,4349
5484,729,1763,2806,1747
2745,7038,5736,237,3080
6355,6921,2476,96,690
1243,4631,517,6667,5179
6638,6819,7093,6240,923
6662,2558,354,5539,5093
1142,1023,5901,6312,5457
4735,6745,5616,7033,7418
4436,6069,1117,4678,6464
4071,2102,65,4243,3205
87,3557,1958,5426,5905
5369,988,7263,6881,3500
214,107,1347,3060,7024
4269,3554,5278,6318,7466
987,807,176,3140,1799
1573,1319,5743,4498,5660
4310,5423,1998,3462,1317
6220,4756,1288,712,3227
4192,6873,2502,2828,2273
3683,1619,100,1473,6818
2574,6807,3029,3986,6767
6580,7353,5926,5890,6123
1665,2643,474,6377,3103
5567,4163,6442,6650,816
4933,259,828,2881,4801
1253,15,7016,1565,6775
5086,6826,3799,1234,969
2724,3918,1136,711,224
3579,2246,854,5454,2300
7009,1195,4362,5969,4296
4725,5255,7200,1633,2448
4263,4199,1035,3172,5933
3144,1026,1275,1080,112
3007,3022,1036,4284,26
5414,2178,4291,2397,7257
3477,2674,4699,5930,7147
2793,6663,6988,6360,4972
546,4984,2626,6550,2578
5385,6404,5669,4201,1539
6400,1419,3093,2387,1067
3610,4784,7118,6273,2940
5326,2770,3406,769,5608
1192,6846,5105,2005,4482
3416,5042,78,2287,6235
4759,2479,2256,7328,1146
724,470,1709,1638,4647
249,1412,1269,5228,2595
6566,3938,1389,6974,2780
626,2077,894,5700,5234
1952,6019,5193,4732,3787
2585,3752,2406,5961,3176
349,6627,3641,2330,1289
5111,6785,1123,4129,5786
6128,1312,5710,3398,1821
394,6847,6324,6270,2237
3870,927,5723,3463,5019
3677,4441,1322,960,6387
2849,3237,299,2107,4049
5720,2284,2410,6521,3352
6085,3709,2513,5522,5360
7447,3853,6763,1992,6271
4045,7053,6370,7001,5529
4112,4057,6999,4418,4214
3620,4120,778,4783,3218
6954,6027,5630,6982,1762
3896,4281,1266,5404,7286
5963,7430,4113,5353,1617
6129,3651,3049,4746,6472
4583,2347,5485,5709,748
5964,533,1852,7316,3668
2798,6373,805,2218,3086
7274,1979,539,704,3949
2343,7240,4876,6301,2346
3450,1809,992,2617,1509
4275,3380,1278,3552,6670
2061,171,5437,3028,3783
3689,558,7450,2814,329
5693,6242,1421,2402,1367
6323,5595,7300,6426,4077
3408,3446,1828,4044,5546
6906,3059,5524,2782,4822
792,1256,7279,3371,23
1437,3769,2394,2947,2323
482,538,5615,2303,3361
6573,3568,1761,2913,4686
1845,1913,5774,5471,1336
384,2655,2122,3100,252
1362,1028,4938,1513,2676
6334,344,4093,3602,2527
3615,3881,2380,3884,3989
5879,2040,4073,6341,310
1628,6229,6279,5641,284
5770,6666,756,3983,366
6041,1365,7370,6265,7156
5490,18,4501,6714,1229
4081,3244,377,3749,4791
7217,1902,7255,3997,5587
4998,331,0,6514,5352
6690,6887,868,6356,3260
1823,3626,1643,2474,2519
3412,6120,4328,2981,2847
6803,4038,6427,5841,406
3955,2320,4264,6537,5830
3750,4471,2186,6825,6577
2811,3039,3062,5528,4615
1705,5344,4586,6441,3315
6929,2688,5737,3801,978
2282,4154,7208,764,5721
4170,1642,5706,2657,6869
1057,829,6239,3286,1116
2180,5339,2017,6868,6652
5381,1516,2487,5617,339
3940,3105,2613,68,2857
4083,4417,4864,5973,2621
4920,2500,2926,647,7080
1109,43,5226,7401,2438
1191,116,5302,6115,5015
1572,6604,2119,4749,2561
5958,659,6480,4908,3207
5004,4860,5610,5244,4925
2703,4311,3995,2924,4601
7218,1846,7434,6708,1766
2179,3857,7335,7222,6742
6092,5982,1245,1961,3840
7376,5864,3451,6721,6630
840,1792,4180,2985,115
4879,2509,3877,5679,3340
674,4434,5683,6347,7458
965,2373,2182,754,7474
6478,6962,3588,5159,2755
2202,5274,595,485,5020
7441,1148,3421,4937,2132
611,5580,2258,367,5411
1369,6405,5935,4869,79
516,6077,1949,5043,2667
1392,6972,3670,4870,1493
804,5699,1629,1265,1398
3423,1290,3798,786,1541
6060,1956,4431,306,72
3914,775,6349,859,6727
4309,6061,132,4837,1503
1675,3196,2087,2787,3443
2106,3287,2401,3611,6915
6086,1699,963,5911,3937
6068,7272,335,3592,4466
3385,4966,1797,163,4043
3222,586,289,2803,478
108,6158,3772,5957,6259
4239,1093,2536,6221,3259
7155,6882,3291,4085,3513
4871,7364,2159,2187,4220
1472,3025,1054,5497,785
820,3698,5425,181,1082
4168,7410,6134,1725,1686
2184,781,1553,2446,3520
3334,2797,6366,6587,7392
1746,4769,5481,3010,3608
2068,2385,443,6773,3745
5114,3816,4889,4742,6368
2927,3786,3316,363,6114
6606,3112,7360,5665,6157
4033,4151,5950,888,5981
6212,5129,3021,3872,5053
5136,649,2700,3553,5055
6226,5927,3889,1368,1188
5026,51,380,1988,3609
5537,1556,2276,7158,6176
54,4101,6035,7145,6473
2429,6161,5473,2266,7112
7382,6909,2542,2085,2165
5956,279,4777,3996,5984
178,1924,1485,1310,7030
3805,2658,3803,3863,2569
6634,970,4595,3041,6512
6958,2633,7475,6780,5199
3448,1728,7343,1179,7456
3165,6565,161,3156,6208
1464,2403,703,6664,2742
5044,2219,3158,229,2076
924,2593,5022,7426,2113
429,2641,4451,6567,6381
4456,1872,2505,2267,99
3753,1325,576,2206,1904
7135,2051,2650,2484,1038
5628,6903,3120,272,4848
7278,6736,4975,6689,6944
6557,7307,1219,1267,6912
4556,4812,3221,4343,6996
1066,1723,7116,1005,7100
2494,1299,6894,5520,7082
6046,1651,3935,7015,6449
6891,4135,1962,4593,6152
7102,6523,1099,6363,3900
7359,6180,3239,2457,4914
7170,6300,5266,7051,1338
4368,5310,2001,372,4352
1972,1335,6304,2706,4406
5689,5478,6138,1297,3649
2920,4320,3577,4683,5030
5894,7022,2310,5599,6131
2642,3487,1772,5541,4841
4288,1273,1004,5232,6989
4598,3348,1340,6395,4708
2041,1977,2751,7037,6579
5306,205,746,2109,4670
5735,6973,2974,3407,6624
863,3519,2910,3744,173
5158,5941,707,5476,7427
2760,6127,5100,1607,3728
3153,3932,1208,122,7194
5479,7229,1483,4564,505
6384,1268,2765,21,1373
5702,1685,6986,5795,5812
1211,6885,5038,4003,1688
416,2015,3332,5868,186
2659,3991,2996,806,475
523,3150,1555,5627,7268
6547,1075,1596,7470,6206
6392,2421,452,2299,3358
6362,4384,5319,2035,118
2718,800,5652,4940,616
2691,4737,3293,5399,5396
6795,3599,5578,7248,694
6100,6836,6201,3311,1178
5316,1973,6925,2531,6932
5712,2043,476,3485,4624
3037,5011,1525,1024,827
4405,4881,266,510,5225
7251,3717,2612,177,2594
3545,4440,5005,6174,3762
1366,3821,70,2326,5427
293,6970,4055,2841,3126
507,1217,5194,4036,5075
2461,5200,4922,4425,1784
1674,40,5931,4473,2805
5305,4817,3146,4675,4802
7483,5751,445,2588,695
6062,2240,5487,3337,2336
5844,3038,59,3550,5840
3322,5769,3533,1200,6149
