"SMILES","CYP450 modulation"
"CC1=CC(O)=CC(O)=C1NC1=C(C)C2=C3C(OC2=CC1=O)=CC(=O)C(NC1=C(O)C=C(O)C=C1C)=C3C","Inhibitor"
"O=C(NC1=CC=CC=C1)N1CCC2(CC1)CCN(CC2)S(=O)(=O)C1=CC=CC=C1","Inhibitor"
"COC1=CC=C(C=C1)C(=O)N1CCC[C@@]2(CCN(C2)C2=CC=CC(=C2)C2=CC=CC=C2)C1","Inhibitor"
"OC(=O)[C@@H]1[C@H](C2C3=CC=CC=C3C1C1=CC=CC=C21)C(=O)NCC1CC1","Noninhibitor"
"CCN1C[C@@]2(COC)CC[C@H](O)[C@@]34[C@H]5C[C@@H]6[C@H](OC(C)=O)[C@H]5[C@@](O)(C[C@H]6OC)[C@@H](C[C@H]23)[C@@H]14","Noninhibitor"
"O=C(OC1=CC=CC=C1)N1CCC2(CN(C2)C(C2=CC=CC=C2)C2=CC=CC=C2)CC1","Noninhibitor"
"C1=CC=C2C(=C1)C1=CC=CC=C1C2=NC1=CC=C(C=C1)N=C1C2=CC=CC=C2C2=CC=CC=C12","Noninhibitor"
"CC1=C(CCN2CCC(CC2)C(=O)C2=CC=C(F)C=C2)C(=O)N2C=CC=CC2=N1","Noninhibitor"
"O=C(N1CCC2(CN(C2)C(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CO1","Noninhibitor"
"COCCN1C(=O)C(=NC2=CN=CN=C12)C1=CC(Cl)=CC=C1","Inhibitor"
"OC1=C2O[C@@H]3C(=O)CC[C@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC1CC1","Noninhibitor"
"N=C(C1=CC2=CC=CC=C2C=C1)C1=CC=CC=C1CC1=CC=CC=C1","Inhibitor"
"COC1=CC=CC(=C1)C1=NC2=CC=CC=C2C(NCC2=CC=CS2)=N1","Inhibitor"
"CS(=O)(=O)NC1=C(OC2CCCCC2)C=C(C=C1)[N+]([O-])=O","Inhibitor"
"CC1=CC=CC=C1C1=CC2=C(C=C1)N=CN=C2NCCN1CCOCC1","Inhibitor"
"CC\C(=C(/CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","Inhibitor"
"FC(F)(F)C1=CC=CC=C1C1=NC=CC(NCCN2CCOCC2)=N1","Inhibitor"
"CCCC1=CC2=C(C(C)C3CN(C(=O)C4=CC=CC=C4)C(C)(C23)C(=O)OC)N1CC1=CC(Cl)=CC=C1","Inhibitor"
"CC1=C(C(=O)N2CCC[C@@]3(CCN(CC4=NC=CS4)C3)C2)C(C)=NO1","Noninhibitor"
"CN1C=CC=C1C(=O)N1CCC2(CCCN(C2)C(=O)NC2=CC(F)=CC=C2)CC1","Inhibitor"
"CCN1C=NC2=C(NC3=CC(Cl)=CC=C3)N=C(N[C@@H]3CCCC[C@H]3N)N=C12","Inhibitor"
"COC(=O)[C@@]1(CC2=CC=C(OC)C=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1CCN1CCOCC1)C(=O)N1CCCC1","Noninhibitor"
"NCCSCC1=CC=CC=C1Cl","Inhibitor"
"CCNC1=NC=C2N=C(C)C(=O)N(CCC3=CC=CC=C3)C2=N1","Inhibitor"
"NC(=O)[C@@H]1CCCNC1","Noninhibitor"
"ClC1=CC=CC=C1C1=NC2=CC=CC=C2C(=N1)N1C=CN=C1","Inhibitor"
"CN(CC(O)=O)CC1=C(O)C(Cl)=CC(Cl)=C1Cl","Noninhibitor"
"CCN(CCO)C[C@H]1CCC[C@H]2CCCC[C@H]12","Inhibitor"
"COC1=CC=CC(=C1)C1=NC2=CC=CC=C2C(NCCN2CCOCC2)=N1","Inhibitor"
"O=C1C=NC2=CN=C(N=C2N1CC1=CC=CS1)N1CCNCC1","Inhibitor"
"CC[C@H](NC(C)C)[C@H](O)C1=CC(O)=C(O)C=C1","Inhibitor"
"C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O","Noninhibitor"
"CN1CCN(CC1)C1=NC=C2N=C(C(=O)N(CCC3=CC=CC=C3)C2=N1)C1=CC(F)=CC(F)=C1","Noninhibitor"
"CC(C)NC[C@H](O)C1=CC2=CC=CC=C2C=C1","Inhibitor"
"CC(=O)NCCNC1=NC(=NC2=CC=CC=C12)C1=CC=CC=C1C(F)(F)F","Inhibitor"
"COCCN1C(=O)C(CCC2=CC=CC=C2)=NC2=CN=C(OC)N=C12","Inhibitor"
"COCCN1C(=O)C(C)=NC2=CN=C(OC3=CC=CC=C3)N=C12","Inhibitor"
"CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O","Noninhibitor"
"COCCN1C(=O)C(CCC2=CC=CC=C2)=NC2=CN=C(OC3=CC=CC=C3)N=C12","Inhibitor"
"O=C(N1CCCCC1)C1=CC2=C(OCO2)C=C1","Inhibitor"
"CC(C)=CCC1=C2NC=C(C2=CC=C1)C1=C(O)C(=O)C(C2=C(NC3=CC=CC=C23)C(C)(C)C=C)=C(O)C1=O","Inhibitor"
"COC(=O)[C@@]1(CC2=CC=C(F)C=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1CC1=CC(F)=C(F)C(F)=C1)C(=O)N(C)C","Noninhibitor"
"O=C(CCCC1=CC=CC=N1)C1=CC=CC=C1","Inhibitor"
"O=C(NC1=CC=CC(=C1)C#N)N1CCC2(CC1)CCN(CC2)C(=O)C1=CC=CO1","Noninhibitor"
"COCC(=O)N1CCC2(CC1)CCN(CC2)C(=O)NC1=CC=CC(=C1)C#N","Noninhibitor"
"COCCN1C(=O)C(C)=NC2=CN=C(OC3=CC(Cl)=CC=C3)N=C12","Inhibitor"
"CNCCCCCCCCSC1=C(C=CC(=N1)C(C)C)C(=O)C1=CC=CS1","Inhibitor"
"NC(=O)C1=CC=CC=C1C1=NC2=CC=CC=C2C(=N1)N1C=CN=C1","Inhibitor"
"NS(=O)(=O)C1=CC(Br)=C(N\N=C2\C=CC(=O)C3=C2C=CC=N3)C(Br)=C1","Inhibitor"
"NC\C=C/C(O)=O","Noninhibitor"
"CC1=C(CC2=NCCN2)C2=CC=CC=C2S1","Inhibitor"
"CN1C=CC=C1C(=O)N1CCC2(CCCN(C2)C(=O)NC2=CC=CC=C2)CC1","Inhibitor"
"FC1=CC=C(CN2C(=O)C(=NC3=CN=C(N=C23)N2CCOCC2)C2=CC=CC(=C2)C#N)C=C1","Noninhibitor"
"COC1=CC=CC(CN2C(=O)C(=NC3=CN=CN=C23)C2=CC(F)=C(F)C=C2)=C1","Inhibitor"
"C[N+]1(C)CCN(CC1)C1=CC=CC=C1","Noninhibitor"
"C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@]5(C)C[C@H](O)[C@@H](O)[C@@](C)(CO)[C@@H]5[C@H](O)C[C@]34C)[C@@H]2[C@H]1C)C(O)=O","Noninhibitor"
"COC1=CC=CC(=C1)C1=CN=CN=C1NC1CCNCC1","Noninhibitor"
"CCCN(CCC)CCC1=CNC2=C1C=C(C=C2)C(N)=O","Inhibitor"
"CN(C)C1=CC=C(C=C1)C1=CN=CN=C1NCC1=NC=C(C)N=C1","Inhibitor"
"OC(=O)[C@H](CCC1=CC=CC=C1)N1C(=O)C2=CC=CC=C2C1=O","Noninhibitor"
"CCCN(CCC)C[C@@H]1CCCCN1CCNC(=O)N1C2=CC=CC=C2C(=O)NC2=C1N=CC=C2","Inhibitor"
"CC(C)(CC(=O)NC1=CC=CC=C1)C(O)=O","Noninhibitor"
"OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1O","Inhibitor"
"OC(=O)C\C(=C/C(O)=O)C(O)=O","Noninhibitor"
"C(NC1=NC=NC=C1C1=COC=C1)C1=CC=CC=C1","Inhibitor"
"O=C(N1CCC[C@@]2(CCN(CC3=CC=NC=C3)C2)C1)C1=NC=CN=C1","Inhibitor"
"O=C(N1CCC2(CC1)CCN(CC2)C1=CC=CC(=C1)C1=CC=CC=C1)C1=NC=CN=C1","Inhibitor"
"COC1=CC2=C(NC=C2CCNC2=NC=NC(=C2)C2=CC=CC(=C2)C#N)C=C1","Inhibitor"
"O=C(N1CCC2(CCCN(C2)C2=CC=CC(=C2)C2=CC=CC=C2)CC1)C1=NC=CN=C1","Inhibitor"
"CN(C)C(=O)C1=CC=C(C=C1)C1=CC2=C(C=C1)N=CN=C2N(C)CC1=CC=CO1","Inhibitor"
"COC1=CC2=C(NC=C2CCNC2=NC=NC(=C2)C2=CC=C(C=C2)C(=O)N(C)C)C=C1","Inhibitor"
"CCNC1=NC=C2N=C(C)C(=O)N(CCOC)C2=N1","Inhibitor"
"C[C@@]12CC[C@H]3[C@H](CCC4=C3C=CC(OP(O)(O)=O)=C4)[C@H]1CCC2=O","Noninhibitor"
"N[C@H](COP(O)(O)=O)C(O)=O","Noninhibitor"
"COCCN1C(=O)C(=NC2=CN=C(OC3=CC(Cl)=CC=C3)N=C12)C1=CC=CC=C1","Inhibitor"
"C(NC1=NC=NC=C1C1=CN=CC=C1)C1=CN=CC=C1","Inhibitor"
"C1CN(CCN1)C1=NC(=NC2=CC=CC=C12)C1=COC=C1","Inhibitor"
"COC1=CC=C(C=C1)N1C(=O)C(=NC2=CN=C(N=C12)N(C)C)C1=CC=CS1","Noninhibitor"
"CN1CCC2=C[C@H](O)[C@@H]3OC(=O)C4=CC5=C(OCO5)C=C4[C@H]3[C@@H]12","Noninhibitor"
"NC1=CC=C(CCNC2=C3N=CN([C@@H]4O[C@@H](CO)[C@H](O)[C@@H]4O)C3=NC=N2)C=C1","Noninhibitor"
"N[C@@H](C(O)=O)C1=CC(C(O)=O)=C(O)C=C1","Noninhibitor"
"COC(=O)[C@@]1(CC2=CC=CC=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1CCO)C(=O)N(C)C","Noninhibitor"
"CC(=O)N1CCC2(CCCN(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C2)CC1","Noninhibitor"
"CCCC1=CC2=C(C(C)C3CN(C(=O)C4=CC=CC=C4)C(C)(C23)C(=O)OC)N1CC1=CC=CO1","Noninhibitor"
"NCCS","Noninhibitor"
"FC1=CC=CC(NC(=O)N2CC3(C2)CCN(CC3)S(=O)(=O)C2=CC=CC=C2)=C1","Noninhibitor"
"CN(CC1=CC=CO1)C1=NC(=NC=C1)C1=CC(NS(C)(=O)=O)=CC=C1","Inhibitor"
"CNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O","Noninhibitor"
"COCCN1C(=O)C(CCC2=CC=CC=C2)=NC2=CN=C(OCC3=CC=CC=C3)N=C12","Inhibitor"
"CC(C)C1=C2C(=CC=C1)N=C1C3=CC=CC(=O)N3CC1=C2[Si](C)(C)C(C)(C)C","Inhibitor"
"CC(C)NC[C@@H](O)COC1=CC=C(COCCOC(C)C)C=C1","Noninhibitor"
"Cl","Noninhibitor"
"CCN1C(CCCC2=NC3=C(N2)C(=O)N(C)C(=O)N3C)=NC2=C1C(=O)N(C)C(=O)N2C","Noninhibitor"
"FC(F)(F)C1=CC=CC(=C1)C1=NC2=C(N1)N=C(Cl)C(Cl)=N2","Inhibitor"
"NC1=C2C=CC=C3C(=O)NC(=O)C(C=C1)=C23","Inhibitor"
"CC1=C2OC3=CC=CC=C3[C@H](NC(=O)C3=CC=C(C=C3)[N+]([O-])=O)C2=CC=C1","Inhibitor"
"CCC\C=C(/CCC)C(NC(=O)OCC(C)C)C1=CC=CC=C1","Noninhibitor"
"CCCC\C=C\C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1","Inhibitor"
"COC1=CC2=C(NC=C2CCNC2=NC=NC3=C2C=C(C=C3)C2=CC=CC=C2OC)C=C1","Inhibitor"
"OCCN[C@@H]1C2=C(C=CC(Cl)=C2)C2=C1C=C(Cl)C=C2Cl","Inhibitor"
"O=C1N(C2CC2)C2=NC(OC3=CC=CC=C3)=NC=C2N=C1C1=CC=CC=C1","Inhibitor"
"COC1=CC=C(C=C1)C1=NC2=CN=C(N=C2N(CCC2=CC=CC=C2)C1=O)N1CCNCC1","Inhibitor"
"CCCC[C@@H]1C[C@H]1C(NC(=O)CC1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1","Noninhibitor"
"CNC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO","Noninhibitor"
"OC1=CC=C(CCNCC2=CC3=C(OCO3)C=C2Br)C=C1","Inhibitor"
"COC(=O)[C@@]1(CC2=CC=C(F)C=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1C)C(=O)N(C)C","Inhibitor"
"O=C(N1CCC[C@@]2(CCN(CC3=CC=NC=C3)C2)C1)C1=CSN=N1","Inhibitor"
"CN1C[C@@H](C[C@@H]2[C@@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@H]3CCCN3C(=O)[C@@H](CC3=CC=CC=C3)N2C1=O","Noninhibitor"
"O=C(N1CCC2(CCCN(C2)C2=CC=NC=C2)CC1)C1=CC=CO1","Noninhibitor"
"COC1=CC2=C(NC=C2CCNC2=NC=NC=C2C2=CC=CC=C2OC)C=C1","Inhibitor"
"O=C1N(CC2=CC=CS2)C2=NC(=NC=C2N=C1CCC1=CC=CC=C1)N1CCOCC1","Inhibitor"
"CC1=C(C(NC(=O)N1CCCCCC(O)=O)C1=CC=C(Cl)C=C1)C(=O)OCC1=CC=CC=C1","Inhibitor"
"CN1C(=O)C(=NC2=CN=CN=C12)C1=CC=CC=C1","Inhibitor"
"CCCN1C(C)=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12","Inhibitor"
"CN(C)C1=CC=C(C=C1)C1=NC2=CC=CC=C2C(NC2=CC=NC=C2)=N1","Inhibitor"
"ClC1=CC=C(CS[C@@H](CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1","Inhibitor"
"CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O","Inhibitor"
"O=C(N1CCC2(CN(C2)C2=NC=CC=N2)CC1)C1=CSN=N1","Noninhibitor"
"OC[C@@H]1O[C@@H](OC2=C(O)C=C3OC(=O)C=CC3=C2)[C@H](O)[C@H](O)[C@@H]1O","Noninhibitor"
"CN(C)S(=O)(=O)C1=CC2=C(NC(=O)\C2=C/C2=CC3=C(CCCC3)N2)C=C1","Inhibitor"
"COC1=CC=CC=C1CNC1=NC(=NC2=CC=CC=C12)C1=C(C)ON=C1C","Inhibitor"
"COC1=CC=CC(=C1)C1=CC2=C(C=C1)N=CN=C2NCCN1CCOCC1","Inhibitor"
"CC1=CN=C(CNC2=NC=NC3=C2C=C(C=C3)C2=CC(NS(C)(=O)=O)=CC=C2)C=N1","Inhibitor"
"OC(=O)C1=CC(=C(C=C1)[N+]([O-])=O)P(O)(O)=O","Noninhibitor"
"C[C@@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]34C)[C@H]1CCC2=O","Noninhibitor"
"ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1","Inhibitor"
"N#CC1=CC=CC=C1C1=CC2=C(C=C1)N=CN=C2NCCN1CCOCC1","Inhibitor"
"C[C@](O)(CO)[C@@H](O)[C@]12NC(=O)[C@](O)(NC1=O)C(=C)CCO2","Noninhibitor"
"COC1=CC=CC=C1C1=CC2=C(C=C1)N=CN=C2NCCNC(C)=O","Inhibitor"
"CC(=O)NC1=NN=C(S1)S(N)(=O)=O","Noninhibitor"
"COC(=O)[C@@]1(CC2=CC=C(F)C=C2)[C@@H]2[C@H](CN1C(=O)C1=CC=CC=C1)CC1=C2C=C(N1CCCNC1=C(Cl)C=C(C=N1)C(F)(F)F)C(=O)N1CCCC1","Noninhibitor"
"C(CC1=CC=NC=C1)SC1=CC=CC=C1","Inhibitor"
"COC1=CC2=C(NC3=CC(CN4CCN(C)CC4)=C(O)C=C3)C3=C(C=C(Cl)C=C3)N=C2C=C1","Inhibitor"
"CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@@H](O)[C@]2(C)[C@]2(O)C(=O)C[C@@](C)(O[C@@]12C)C=C","Noninhibitor"
"NC1=NC(CC2=CC(=CC=C2)C(F)(F)F)=C(C(N)=N1)C1=CC(=CC=C1)C(F)(F)F","Inhibitor"
"CCNC(=O)[C@@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=C(NCCC3=CC=C(CCC(O)=O)C=C3)N=C12","Noninhibitor"
"CCNC1=NC=C2N=C(C)C(=O)N(C)C2=N1","Inhibitor"
"COC1=CC=C(C=C1)C1=NC2=CN=C(NC3=CC(OC)=CC=C3)N=C2N(CC2=CC=CS2)C1=O","Noninhibitor"
"CC1=C(CCC(O)=O)C2=N\C\1=C/C1=C(C)C(C=C)=C3\C=C4/N=C(/C=C5\N([Sn++]N13)/C(=C\2)C(CCC(O)=O)=C5C)C(C=C)=C4C","Inhibitor"
"NC(=N)C1=CC=C(\C=C/C2=CC=C(C=C2)C(N)=N)C=C1","Noninhibitor"
"COC(=O)[C@H](N)CC1=CC=C(Cl)C=C1","Inhibitor"
